invoice_id|invoice_no|customer_id|issue_date|due_date|status|total_amount
66|INV-2025-00066|52|2025-05-28|2025-06-11|Paid|1824.45
67|INV-2026-00067|62|2026-05-29|2026-08-27|Paid|20390.74
68|INV-2026-00068|13|2026-05-06|2026-06-05|Paid|12114.14
69|INV-2025-00069|39|2025-04-09|2025-05-24|Overdue|8027.15
70|INV-2026-00070|58|2026-03-13|2026-04-12|Paid|15825.03
71|INV-2026-00071|47|2026-01-28|2026-03-29|Paid|2145.73
72|INV-2026-00072|46|2026-01-08|2026-02-22|Paid|13198.74
73|INV-2025-00073|31|2025-05-08|2025-06-07|Paid|5540.01
74|INV-2026-00074|58|2026-04-26|2026-05-26|Paid|24519.69
75|INV-2026-00075|64|2026-05-28|2026-06-27|Paid|1274.42
76|INV-2025-00076|48|2025-12-27|2026-01-26|Paid|1976.08
77|INV-2025-00077|67|2025-02-10|2025-04-11|Paid|20108.16
78|INV-2025-00078|50|2025-03-20|2025-05-04|Paid|12393.47
79|INV-2025-00079|80|2025-03-18|2025-04-17|Paid|8572.16
80|INV-2026-00080|68|2026-04-25|2026-06-24|Paid|1415.80
81|INV-2025-00081|35|2025-05-04|2025-06-18|Paid|15135.76
82|INV-2026-00082|66|2026-09-03|2026-10-03|Paid|15546.93
83|INV-2025-00083|50|2025-11-28|2026-01-12|Paid|20744.72
84|INV-2025-00084|23|2025-11-17|2025-12-17|Paid|28427.56
85|INV-2025-00085|18|2025-08-17|2025-10-16|Overdue|5341.64
86|INV-2026-00086|41|2026-01-20|2026-03-06|Paid|2326.42
87|INV-2025-00087|57|2025-12-29|2026-02-12|Overdue|10709.04
88|INV-2025-00088|75|2025-12-26|2026-01-09|Paid|2334.23
89|INV-2026-00089|10|2026-01-24|2026-03-25|Paid|7621.24
90|INV-2025-00090|78|2025-07-13|2025-08-27|Paid|17019.76
91|INV-2025-00091|34|2025-11-30|2026-01-14|Paid|7044.90
92|INV-2026-00092|21|2026-09-07|2026-11-06|Paid|1136.39
93|INV-2026-00093|47|2026-02-01|2026-04-02|Paid|4934.30
94|INV-2025-00094|27|2025-06-24|2025-08-08|Paid|25539.69
95|INV-2026-00095|44|2026-07-04|2026-08-03|Paid|7945.64
96|INV-2026-00096|4|2026-02-15|2026-04-01|Paid|8965.87
97|INV-2026-00097|70|2026-07-25|2026-08-08|Paid|3920.24
98|INV-2026-00098|77|2026-07-14|2026-09-12|Paid|2128.24
99|INV-2025-00099|47|2025-07-13|2025-09-11|Paid|6831.70
100|INV-2025-00100|15|2025-03-22|2025-04-21|Paid|21299.73
101|INV-2026-00101|13|2026-03-22|2026-04-21|Paid|7508.78
102|INV-2026-00102|13|2026-07-18|2026-08-17|Paid|4163.83
103|INV-2026-00103|53|2026-01-21|2026-04-21|Paid|1395.10
104|INV-2026-00104|62|2026-01-14|2026-04-14|Paid|18724.37
105|INV-2025-00105|47|2025-04-22|2025-06-21|Paid|17707.10
106|INV-2026-00106|39|2026-02-20|2026-04-06|Paid|2219.48
107|INV-2025-00107|26|2025-08-07|2025-09-21|Overdue|2779.48
108|INV-2026-00108|52|2026-04-30|2026-05-14|Paid|1556.36
109|INV-2025-00109|3|2025-04-08|2025-05-08|Paid|10101.09
110|INV-2025-00110|17|2025-05-29|2025-06-28|Paid|13891.82
111|INV-2025-00111|43|2025-12-20|2026-02-18|Paid|6101.93
112|INV-2025-00112|45|2025-07-06|2025-10-04|Overdue|5174.10
113|INV-2025-00113|5|2025-04-19|2025-05-03|Paid|1763.66
114|INV-2025-00114|30|2025-07-30|2025-09-28|Overdue|25733.50
115|INV-2026-00115|74|2026-07-13|2026-10-11|Paid|1224.84
116|INV-2025-00116|10|2025-03-16|2025-05-15|Paid|1826.95
117|INV-2025-00117|58|2025-07-21|2025-08-20|Paid|10097.50
118|INV-2025-00118|20|2025-12-19|2026-01-18|Overdue|34860.29
119|INV-2026-00119|25|2026-02-28|2026-04-14|Paid|15674.77
120|INV-2025-00120|39|2025-10-09|2025-11-23|Overdue|723.93
121|INV-2026-00121|46|2026-04-28|2026-06-12|Paid|5990.48
122|INV-2026-00122|54|2026-01-31|2026-05-01|Paid|1931.27
123|INV-2025-00123|38|2025-05-25|2025-06-24|Paid|22929.05
124|INV-2026-00124|50|2026-05-26|2026-07-10|Paid|4886.80
125|INV-2026-00125|29|2026-04-05|2026-05-05|Overdue|1281.58
126|INV-2025-00126|67|2025-11-07|2026-01-06|Overdue|9840.74
127|INV-2025-00127|76|2025-09-25|2025-11-09|Paid|2115.61
128|INV-2026-00128|34|2026-02-19|2026-04-05|Paid|4123.94
129|INV-2026-00129|53|2026-06-16|2026-09-14|Paid|12427.27
130|INV-2025-00130|78|2025-04-19|2025-06-03|Paid|3791.21
131|INV-2026-00131|17|2026-07-23|2026-08-22|Paid|1141.52
132|INV-2026-00132|36|2026-02-06|2026-02-20|Paid|18213.54
133|INV-2026-00133|25|2026-05-09|2026-06-23|Overdue|35093.07
134|INV-2026-00134|58|2026-06-30|2026-07-30|Paid|2290.90
135|INV-2025-00135|64|2025-08-22|2025-09-21|Paid|19444.85
136|INV-2026-00136|3|2026-01-23|2026-02-22|Paid|21707.03
137|INV-2025-00137|22|2025-03-24|2025-05-08|Overdue|5569.56
138|INV-2026-00138|61|2026-06-08|2026-07-08|Paid|12164.45
139|INV-2026-00139|8|2026-04-09|2026-05-09|Paid|1065.92
140|INV-2026-00140|27|2026-09-15|2026-10-30|Paid|6421.64
141|INV-2025-00141|18|2025-01-03|2025-03-04|Overdue|14303.43
142|INV-2026-00142|19|2026-09-18|2026-10-18|Open|6054.20
143|INV-2025-00143|11|2025-07-30|2025-08-29|Paid|11710.08
144|INV-2026-00144|61|2026-07-05|2026-08-04|Paid|16317.53
145|INV-2026-00145|37|2026-01-29|2026-02-28|Paid|19585.56
146|INV-2025-00146|4|2025-09-08|2025-10-23|Paid|23916.68
147|INV-2025-00147|76|2025-04-29|2025-06-13|Paid|4100.70
148|INV-2025-00148|24|2025-07-10|2025-10-08|Paid|9725.09
149|INV-2026-00149|47|2026-07-03|2026-09-01|Paid|11985.74
150|INV-2026-00150|68|2026-09-21|2026-11-20|Paid|8734.59
151|INV-2025-00151|61|2025-03-27|2025-04-26|Paid|27722.50
152|INV-2026-00152|75|2026-04-09|2026-04-23|Paid|18472.16
153|INV-2026-00153|74|2026-07-17|2026-10-15|Paid|12293.78
154|INV-2025-00154|80|2025-10-03|2025-11-02|Paid|9755.00
155|INV-2025-00155|25|2025-05-24|2025-07-08|Paid|5789.58
156|INV-2026-00156|80|2026-09-08|2026-10-08|Paid|4242.16
157|INV-2026-00157|50|2026-01-02|2026-02-16|Paid|8671.95
158|INV-2026-00158|58|2026-09-15|2026-10-15|Paid|2305.12
159|INV-2025-00159|31|2025-12-15|2026-01-14|Paid|8811.92
160|INV-2025-00160|25|2025-01-22|2025-03-08|Overdue|5225.09
161|INV-2025-00161|23|2025-07-14|2025-08-13|Paid|1103.02
162|INV-2025-00162|68|2025-04-23|2025-06-22|Paid|7096.31
163|INV-2026-00163|43|2026-06-28|2026-08-27|Paid|2377.14
164|INV-2025-00164|44|2025-04-20|2025-05-20|Paid|3657.15
165|INV-2026-00165|58|2026-03-18|2026-04-17|Paid|8698.37
166|INV-2026-00166|60|2026-04-13|2026-07-12|Paid|23563.55
167|INV-2026-00167|2|2026-07-13|2026-09-11|Paid|13093.53
168|INV-2025-00168|32|2025-03-03|2025-03-17|Paid|14137.17
169|INV-2026-00169|53|2026-01-16|2026-04-16|Paid|4156.40
170|INV-2026-00170|75|2026-07-07|2026-07-21|Paid|2797.88
171|INV-2025-00171|13|2025-10-31|2025-11-30|Paid|5200.47
172|INV-2025-00172|46|2025-03-31|2025-05-15|Paid|6353.68
173|INV-2026-00173|22|2026-08-08|2026-09-22|Overdue|2865.46
174|INV-2026-00174|18|2026-05-23|2026-07-22|Overdue|7213.36
175|INV-2025-00175|72|2025-09-29|2025-10-29|Overdue|26758.52
176|INV-2026-00176|41|2026-01-08|2026-02-22|Paid|10684.89
177|INV-2025-00177|36|2025-06-22|2025-07-06|Paid|18398.03
178|INV-2025-00178|64|2025-03-25|2025-04-24|Paid|2161.10
179|INV-2026-00179|80|2026-06-14|2026-07-14|Paid|12073.40
180|INV-2025-00180|14|2025-01-31|2025-04-01|Overdue|12436.52
181|INV-2025-00181|26|2025-06-23|2025-08-07|Overdue|3404.82
182|INV-2025-00182|16|2025-01-27|2025-02-26|Paid|9638.31
183|INV-2026-00183|31|2026-08-18|2026-09-17|Paid|1904.70
184|INV-2026-00184|69|2026-02-25|2026-03-11|Overdue|3140.50
185|INV-2025-00185|11|2025-11-14|2025-12-14|Paid|2332.21
186|INV-2026-00186|80|2026-05-16|2026-06-15|Paid|1216.95
187|INV-2025-00187|64|2025-06-01|2025-07-01|Paid|1320.52
188|INV-2025-00188|77|2025-03-15|2025-05-14|Paid|3938.94
189|INV-2025-00189|7|2025-02-15|2025-04-01|Overdue|7722.45
190|INV-2025-00190|35|2025-12-07|2026-01-21|Paid|28459.29
191|INV-2026-00191|61|2026-02-02|2026-03-04|Paid|3659.56
192|INV-2026-00192|7|2026-02-09|2026-03-26|Overdue|11516.02
193|INV-2026-00193|7|2026-08-06|2026-09-20|Overdue|16760.78
194|INV-2026-00194|78|2026-06-28|2026-08-12|Paid|18546.83
195|INV-2025-00195|75|2025-11-28|2025-12-12|Paid|2732.52
196|INV-2025-00196|12|2025-09-16|2025-10-16|Overdue|8507.51
197|INV-2025-00197|39|2025-04-25|2025-06-09|Paid|10350.26
198|INV-2026-00198|34|2026-03-20|2026-05-04|Paid|2225.88
199|INV-2026-00199|12|2026-09-24|2026-10-24|Open|29728.09
200|INV-2025-00200|5|2025-03-13|2025-03-27|Paid|8085.94
201|INV-2025-00201|38|2025-10-18|2025-11-17|Paid|15143.57
202|INV-2025-00202|15|2025-10-13|2025-11-12|Paid|5871.02
203|INV-2025-00203|45|2025-12-29|2026-03-29|Paid|17761.82
204|INV-2026-00204|34|2026-09-12|2026-10-27|Paid|4011.45
205|INV-2026-00205|13|2026-09-24|2026-10-24|Open|9693.81
206|INV-2026-00206|43|2026-04-14|2026-06-13|Overdue|2275.93
207|INV-2025-00207|3|2025-12-05|2026-01-04|Paid|4487.46
208|INV-2026-00208|3|2026-05-13|2026-06-12|Paid|5477.59
209|INV-2025-00209|54|2025-07-22|2025-10-20|Paid|4261.17
210|INV-2026-00210|57|2026-07-15|2026-08-29|Overdue|22685.97
211|INV-2025-00211|75|2025-01-07|2025-01-21|Paid|17429.49
212|INV-2026-00212|37|2026-03-28|2026-04-27|Paid|12513.36
213|INV-2026-00213|67|2026-05-30|2026-07-29|Paid|11736.63
214|INV-2026-00214|18|2026-06-02|2026-08-01|Paid|4140.38
215|INV-2026-00215|33|2026-06-30|2026-08-29|Paid|8118.47
216|INV-2026-00216|20|2026-05-15|2026-06-14|Paid|6252.70
217|INV-2026-00217|59|2026-08-14|2026-08-28|Paid|34421.98
218|INV-2025-00218|38|2025-10-17|2025-11-16|Paid|16024.08
219|INV-2026-00219|55|2026-04-25|2026-06-09|Overdue|4355.85
220|INV-2025-00220|55|2025-05-20|2025-07-04|Paid|757.75
221|INV-2026-00221|67|2026-08-11|2026-10-10|Open|10177.38
222|INV-2026-00222|31|2026-01-21|2026-02-20|Paid|3783.60
223|INV-2026-00223|77|2026-02-05|2026-04-06|Paid|14562.46
224|INV-2026-00224|12|2026-06-21|2026-07-21|Overdue|24946.00
225|INV-2026-00225|22|2026-09-27|2026-11-11|Open|444.03
226|INV-2026-00226|47|2026-05-17|2026-07-16|Paid|6052.32
227|INV-2025-00227|65|2025-04-03|2025-06-02|Paid|12079.36
228|INV-2025-00228|36|2025-01-02|2025-01-16|Paid|4020.22
229|INV-2026-00229|38|2026-09-24|2026-10-24|Paid|12926.37
230|INV-2026-00230|48|2026-07-12|2026-08-11|Paid|16182.16
231|INV-2026-00231|25|2026-05-12|2026-06-26|Paid|2081.98
232|INV-2025-00232|56|2025-10-01|2025-11-15|Paid|3329.90
233|INV-2025-00233|27|2025-11-28|2026-01-12|Paid|6220.00
234|INV-2025-00234|76|2025-12-19|2026-02-02|Paid|4019.13
235|INV-2025-00235|58|2025-02-08|2025-03-10|Paid|11996.69
236|INV-2026-00236|45|2026-08-07|2026-11-05|Paid|10453.20
237|INV-2025-00237|1|2025-02-10|2025-04-11|Paid|1723.21
238|INV-2025-00238|80|2025-05-28|2025-06-27|Paid|7327.90
239|INV-2025-00239|35|2025-03-16|2025-04-30|Paid|9376.96
240|INV-2025-00240|72|2025-07-16|2025-08-15|Overdue|16798.50
241|INV-2026-00241|3|2026-08-10|2026-09-09|Paid|2362.36
242|INV-2025-00242|59|2025-05-13|2025-05-27|Paid|8214.62
243|INV-2026-00243|51|2026-07-22|2026-09-05|Overdue|7411.56
244|INV-2026-00244|45|2026-04-29|2026-07-28|Overdue|2477.46
245|INV-2025-00245|64|2025-07-22|2025-08-21|Paid|15058.54
246|INV-2025-00246|52|2025-11-27|2025-12-11|Paid|16121.05
247|INV-2025-00247|63|2025-12-13|2026-01-27|Paid|5650.31
248|INV-2026-00248|13|2026-07-10|2026-08-09|Paid|3098.25
249|INV-2025-00249|25|2025-05-05|2025-06-19|Overdue|14972.37
250|INV-2026-00250|15|2026-01-11|2026-02-10|Paid|2126.24
251|INV-2026-00251|48|2026-04-22|2026-05-22|Paid|2991.58
252|INV-2025-00252|67|2025-04-22|2025-06-21|Overdue|1434.95
253|INV-2025-00253|21|2025-03-22|2025-05-21|Paid|12105.57
254|INV-2026-00254|69|2026-06-16|2026-06-30|Paid|479.96
255|INV-2025-00255|10|2025-10-26|2025-12-25|Paid|864.60
256|INV-2026-00256|77|2026-05-13|2026-07-12|Paid|3725.02
257|INV-2025-00257|47|2025-02-14|2025-04-15|Paid|22272.98
258|INV-2025-00258|8|2025-01-20|2025-02-19|Paid|5601.32
259|INV-2026-00259|56|2026-04-15|2026-05-30|Paid|513.83
260|INV-2025-00260|5|2025-08-06|2025-08-20|Overdue|15035.85
261|INV-2025-00261|69|2025-04-13|2025-04-27|Overdue|3435.02
262|INV-2026-00262|17|2026-03-11|2026-04-10|Paid|31687.06
263|INV-2026-00263|4|2026-09-11|2026-10-26|Paid|6868.16
264|INV-2025-00264|73|2025-08-04|2025-09-03|Overdue|4205.22
265|INV-2025-00265|5|2025-06-07|2025-06-21|Paid|11499.47
266|INV-2026-00266|67|2026-07-17|2026-09-15|Paid|15110.68
267|INV-2026-00267|51|2026-04-29|2026-06-13|Paid|9928.93
268|INV-2025-00268|47|2025-01-20|2025-03-21|Paid|1471.60
269|INV-2025-00269|69|2025-12-31|2026-01-14|Overdue|10938.90
270|INV-2026-00270|25|2026-02-03|2026-03-20|Paid|3313.48
271|INV-2025-00271|19|2025-10-10|2025-11-09|Overdue|25253.70
272|INV-2026-00272|33|2026-06-30|2026-08-29|Paid|1880.70
273|INV-2025-00273|30|2025-12-28|2026-02-26|Overdue|1777.63
274|INV-2025-00274|34|2025-07-11|2025-08-25|Paid|11851.73
275|INV-2026-00275|44|2026-02-01|2026-03-03|Paid|11135.52
276|INV-2026-00276|11|2026-03-12|2026-04-11|Paid|18104.33
277|INV-2026-00277|65|2026-04-19|2026-06-18|Paid|25015.88
278|INV-2026-00278|17|2026-04-07|2026-05-07|Paid|19796.10
279|INV-2025-00279|42|2025-01-19|2025-03-20|Paid|2825.52
280|INV-2026-00280|6|2026-02-01|2026-05-02|Overdue|23255.53
281|INV-2026-00281|5|2026-02-06|2026-02-20|Overdue|3389.24
282|INV-2025-00282|17|2025-05-11|2025-06-10|Paid|1900.60
283|INV-2025-00283|47|2025-10-11|2025-12-10|Paid|16988.24
284|INV-2025-00284|12|2025-06-16|2025-07-16|Overdue|12663.01
285|INV-2026-00285|75|2026-07-05|2026-07-19|Paid|14102.95
286|INV-2026-00286|44|2026-05-20|2026-06-19|Paid|8693.12
287|INV-2025-00287|46|2025-02-18|2025-04-04|Paid|1017.10
288|INV-2026-00288|16|2026-02-12|2026-03-14|Paid|17137.80
289|INV-2026-00289|43|2026-04-29|2026-06-28|Paid|20965.97
290|INV-2025-00290|39|2025-11-11|2025-12-26|Overdue|4160.59
291|INV-2026-00291|72|2026-06-29|2026-07-29|Paid|637.92
292|INV-2025-00292|69|2025-07-14|2025-07-28|Overdue|2203.13
293|INV-2025-00293|21|2025-08-15|2025-10-14|Paid|14869.87
294|INV-2025-00294|67|2025-07-12|2025-09-10|Overdue|4504.56
295|INV-2025-00295|46|2025-01-25|2025-03-11|Paid|1126.80
296|INV-2025-00296|52|2025-04-12|2025-04-26|Paid|4635.90
297|INV-2025-00297|12|2025-10-26|2025-11-25|Overdue|21800.79
298|INV-2025-00298|60|2025-11-22|2026-02-20|Paid|26019.10
299|INV-2025-00299|13|2025-07-29|2025-08-28|Paid|11789.60
300|INV-2025-00300|19|2025-03-25|2025-04-24|Paid|43098.62
301|INV-2025-00301|64|2025-12-19|2026-01-18|Paid|13921.26
302|INV-2026-00302|52|2026-08-03|2026-08-17|Paid|2214.14
303|INV-2025-00303|24|2025-08-28|2025-11-26|Paid|1971.68
304|INV-2025-00304|6|2025-06-30|2025-09-28|Overdue|5748.87
305|INV-2025-00305|41|2025-08-22|2025-10-06|Paid|6064.36
306|INV-2026-00306|5|2026-08-30|2026-09-13|Overdue|10354.97
307|INV-2025-00307|79|2025-08-02|2025-10-01|Paid|6641.50
308|INV-2025-00308|14|2025-09-22|2025-11-21|Overdue|10829.04
309|INV-2026-00309|3|2026-08-29|2026-09-28|Paid|4102.26
310|INV-2025-00310|66|2025-08-10|2025-09-09|Paid|6965.41
311|INV-2025-00311|69|2025-06-28|2025-07-12|Paid|295.41
312|INV-2025-00312|5|2025-09-03|2025-09-17|Overdue|18181.02
313|INV-2025-00313|75|2025-08-19|2025-09-02|Paid|3893.96
314|INV-2025-00314|32|2025-06-22|2025-07-06|Paid|5556.00
315|INV-2026-00315|52|2026-02-20|2026-03-06|Paid|18090.02
316|INV-2026-00316|24|2026-06-30|2026-09-28|Overdue|1853.08
317|INV-2025-00317|21|2025-08-08|2025-10-07|Paid|4350.80
318|INV-2025-00318|56|2025-10-07|2025-11-21|Paid|15352.98
319|INV-2026-00319|23|2026-03-17|2026-04-16|Paid|8188.97
320|INV-2026-00320|26|2026-04-26|2026-06-10|Overdue|1071.35
321|INV-2025-00321|48|2025-06-26|2025-07-26|Paid|32664.67
322|INV-2026-00322|56|2026-08-28|2026-10-12|Paid|4087.03
323|INV-2025-00323|15|2025-10-29|2025-11-28|Paid|5540.11
324|INV-2025-00324|49|2025-02-19|2025-04-05|Paid|1887.71
325|INV-2026-00325|60|2026-08-21|2026-11-19|Paid|14386.58
326|INV-2025-00326|33|2025-11-07|2026-01-06|Paid|20132.04
327|INV-2026-00327|27|2026-05-11|2026-06-25|Paid|2145.00
328|INV-2025-00328|4|2025-05-24|2025-07-08|Paid|1461.57
329|INV-2026-00329|13|2026-02-12|2026-03-14|Paid|760.64
330|INV-2026-00330|20|2026-04-09|2026-05-09|Overdue|14297.25
331|INV-2025-00331|61|2025-10-09|2025-11-08|Paid|3933.89
332|INV-2025-00332|36|2025-01-16|2025-01-30|Paid|3742.71
333|INV-2026-00333|53|2026-09-13|2026-12-12|Paid|25218.84
334|INV-2025-00334|24|2025-03-03|2025-06-01|Paid|3626.10
335|INV-2026-00335|14|2026-08-19|2026-10-18|Paid|5884.90
336|INV-2025-00336|67|2025-08-11|2025-10-10|Paid|2634.80
337|INV-2026-00337|59|2026-05-05|2026-05-19|Paid|5639.56
338|INV-2025-00338|76|2025-09-05|2025-10-20|Paid|1728.46
339|INV-2026-00339|23|2026-01-23|2026-02-22|Paid|10575.32
340|INV-2025-00340|41|2025-04-06|2025-05-21|Paid|800.85
341|INV-2025-00341|39|2025-12-06|2026-01-20|Overdue|5276.64
342|INV-2025-00342|44|2025-10-29|2025-11-28|Paid|1450.22
343|INV-2026-00343|61|2026-07-15|2026-08-14|Paid|24307.27
344|INV-2026-00344|67|2026-04-24|2026-06-23|Paid|3132.76
345|INV-2026-00345|64|2026-08-27|2026-09-26|Paid|4461.70
346|INV-2025-00346|17|2025-04-21|2025-05-21|Paid|4815.38
347|INV-2025-00347|18|2025-09-08|2025-11-07|Overdue|16811.30
348|INV-2025-00348|26|2025-05-22|2025-07-06|Paid|1665.81
349|INV-2026-00349|47|2026-04-21|2026-06-20|Paid|6225.07
350|INV-2025-00350|25|2025-11-13|2025-12-28|Paid|4230.35
351|INV-2025-00351|34|2025-09-04|2025-10-19|Paid|6620.14
352|INV-2025-00352|12|2025-06-15|2025-07-15|Overdue|9786.92
353|INV-2025-00353|61|2025-01-22|2025-02-21|Paid|5013.52
354|INV-2025-00354|45|2025-11-29|2026-02-27|Overdue|14230.80
355|INV-2026-00355|37|2026-03-28|2026-04-27|Paid|4022.03
356|INV-2026-00356|4|2026-04-30|2026-06-14|Paid|3922.14
357|INV-2026-00357|16|2026-07-10|2026-08-09|Paid|15074.46
358|INV-2025-00358|29|2025-06-22|2025-07-22|Paid|9871.71
359|INV-2025-00359|77|2025-03-24|2025-05-23|Paid|4265.91
360|INV-2025-00360|62|2025-08-14|2025-11-12|Overdue|5672.15
361|INV-2026-00361|15|2026-09-16|2026-10-16|Paid|1728.52
362|INV-2025-00362|27|2025-08-15|2025-09-29|Paid|15892.08
363|INV-2025-00363|62|2025-10-20|2026-01-18|Paid|21562.88
364|INV-2025-00364|75|2025-11-01|2025-11-15|Paid|5439.34
365|INV-2026-00365|10|2026-07-09|2026-09-07|Paid|11002.70
366|INV-2025-00366|43|2025-05-09|2025-07-08|Overdue|20626.51
367|INV-2026-00367|48|2026-05-07|2026-06-06|Paid|4255.68
368|INV-2026-00368|52|2026-01-29|2026-02-12|Paid|8889.44
369|INV-2026-00369|3|2026-04-13|2026-05-13|Paid|20600.44
370|INV-2025-00370|78|2025-11-11|2025-12-26|Paid|4582.78
371|INV-2025-00371|79|2025-09-18|2025-11-17|Paid|13868.58
372|INV-2025-00372|23|2025-03-19|2025-04-18|Paid|7879.68
373|INV-2025-00373|42|2025-04-03|2025-06-02|Overdue|3039.94
374|INV-2026-00374|54|2026-01-21|2026-04-21|Paid|23121.07
375|INV-2025-00375|78|2025-12-21|2026-02-04|Paid|2063.00
376|INV-2026-00376|56|2026-03-13|2026-04-27|Paid|4965.53
377|INV-2025-00377|67|2025-03-28|2025-05-27|Overdue|14937.00
378|INV-2026-00378|35|2026-06-03|2026-07-18|Paid|11157.53
379|INV-2025-00379|67|2025-02-14|2025-04-15|Paid|3080.05
380|INV-2026-00380|78|2026-05-29|2026-07-13|Paid|409.47
381|INV-2026-00381|39|2026-03-10|2026-04-24|Overdue|2751.08
382|INV-2025-00382|17|2025-10-29|2025-11-28|Paid|4865.25
383|INV-2026-00383|60|2026-07-08|2026-10-06|Paid|18252.21
384|INV-2026-00384|38|2026-05-02|2026-06-01|Paid|19244.42
385|INV-2025-00385|8|2025-06-18|2025-07-18|Paid|30356.53
