payment_id|invoice_id|paid_date|method|amount
168|428|2025-04-24|Bank Transfer|2826.51
169|1621|2025-04-24|Bank Transfer|4121.66
170|1841|2025-04-24|Bank Transfer|17714.83
171|1775|2025-04-25|Bank Transfer|2595.45
172|1178|2025-04-26|Bank Transfer|7786.49
173|1387|2025-04-26|Bank Transfer|2812.02
174|1740|2025-04-27|Direct Debit|3232.15
175|109|2025-04-28|Bank Transfer|10101.09
176|435|2025-04-28|Bank Transfer|10742.04
177|664|2025-04-28|Bank Transfer|2535.90
178|772|2025-04-28|Bank Transfer|11245.98
179|1175|2025-04-28|Bank Transfer|7683.68
180|1317|2025-04-28|Check|8360.94
181|1437|2025-04-28|Credit Card|6165.97
182|1030|2025-04-29|Bank Transfer|11311.32
183|1430|2025-04-29|Bank Transfer|27082.68
184|1987|2025-04-29|Direct Debit|450.92
185|679|2025-04-30|Credit Card|19557.21
186|1227|2025-04-30|Bank Transfer|15391.12
187|1726|2025-04-30|Bank Transfer|2187.96
188|105|2025-05-01|Check|17707.10
189|130|2025-05-01|Bank Transfer|3791.21
190|359|2025-05-01|Direct Debit|4265.91
191|340|2025-05-02|Bank Transfer|800.85
192|1273|2025-05-02|Bank Transfer|10128.27
193|1364|2025-05-02|Bank Transfer|10871.12
194|113|2025-05-03|Bank Transfer|1763.66
195|1834|2025-05-03|Bank Transfer|18429.46
196|418|2025-05-04|Direct Debit|8409.38
197|451|2025-05-04|Credit Card|6310.45
198|644|2025-05-04|Bank Transfer|25806.35
199|706|2025-05-04|Bank Transfer|2908.14
200|1198|2025-05-04|Bank Transfer|1771.41
201|1348|2025-05-04|Bank Transfer|9062.41
202|48|2025-05-05|Bank Transfer|7521.48
203|558|2025-05-05|Bank Transfer|4713.62
204|588|2025-05-06|Direct Debit|1088.41
205|1110|2025-05-06|Bank Transfer|3232.01
206|1382|2025-05-06|Bank Transfer|2199.21
207|916|2025-05-07|Bank Transfer|14705.52
208|1255|2025-05-07|Bank Transfer|10484.75
209|178|2025-05-08|Bank Transfer|2161.10
210|1631|2025-05-08|Direct Debit|19100.68
211|100|2025-05-09|Bank Transfer|21299.73
212|1537|2025-05-09|Bank Transfer|947.47
213|1|2025-05-10|Bank Transfer|11416.24
214|1110|2025-05-10|Direct Debit|3232.01
215|151|2025-05-11|Direct Debit|27722.50
216|17|2025-05-12|Credit Card|6126.50
217|253|2025-05-12|Bank Transfer|12105.57
218|1566|2025-05-12|Bank Transfer|3083.17
219|1966|2025-05-12|Bank Transfer|9423.53
220|1736|2025-05-13|Direct Debit|18774.46
221|162|2025-05-14|Bank Transfer|7096.31
222|164|2025-05-14|Bank Transfer|3657.15
223|2|2025-05-15|Direct Debit|1831.37
224|997|2025-05-15|Bank Transfer|4420.74
225|147|2025-05-16|Direct Debit|4100.70
226|282|2025-05-16|Credit Card|1900.60
227|479|2025-05-16|Credit Card|23554.34
228|1343|2025-05-16|Bank Transfer|49399.14
229|1503|2025-05-16|Check|30704.16
230|1819|2025-05-16|Direct Debit|12305.92
231|79|2025-05-17|Bank Transfer|6000.51
232|885|2025-05-17|Bank Transfer|13965.29
233|1484|2025-05-17|Direct Debit|23466.31
234|1915|2025-05-17|Bank Transfer|3328.36
235|52|2025-05-18|Bank Transfer|2111.01
236|197|2025-05-18|Credit Card|10350.26
237|653|2025-05-18|Direct Debit|2232.39
238|483|2025-05-19|Bank Transfer|5660.90
239|242|2025-05-20|Bank Transfer|8214.62
240|1116|2025-05-20|Direct Debit|21039.91
241|1195|2025-05-20|Bank Transfer|6789.28
242|1712|2025-05-20|Direct Debit|897.15
243|1613|2025-05-21|Direct Debit|6693.08
244|394|2025-05-22|Bank Transfer|3831.34
245|1210|2025-05-23|Bank Transfer|18779.88
246|948|2025-05-24|Bank Transfer|18941.12
247|1137|2025-05-24|Bank Transfer|1066.59
248|1692|2025-05-24|Direct Debit|7147.61
249|155|2025-05-25|Direct Debit|5789.58
250|830|2025-05-25|Bank Transfer|17679.85
251|977|2025-05-25|Bank Transfer|5231.01
252|348|2025-05-26|Bank Transfer|1665.81
253|1302|2025-05-26|Credit Card|10718.19
254|1334|2025-05-27|Bank Transfer|4003.23
255|1621|2025-05-28|Bank Transfer|2747.77
256|1817|2025-05-28|Bank Transfer|19686.30
257|1525|2025-05-29|Bank Transfer|2526.90
258|1937|2025-05-29|Bank Transfer|3760.99
259|81|2025-05-30|Direct Debit|15135.76
260|1230|2025-05-31|Bank Transfer|14940.89
261|1907|2025-05-31|Bank Transfer|5747.01
262|674|2025-06-01|Credit Card|788.45
263|709|2025-06-01|Direct Debit|2231.24
264|1144|2025-06-01|Bank Transfer|15970.92
265|1479|2025-06-01|Bank Transfer|4207.47
266|1545|2025-06-01|Bank Transfer|210.00
267|1553|2025-06-01|Credit Card|2167.46
268|1759|2025-06-01|Credit Card|7519.25
269|1872|2025-06-01|Bank Transfer|2239.91
270|1935|2025-06-01|Credit Card|11685.18
271|73|2025-06-03|Check|5540.01
272|1418|2025-06-03|Bank Transfer|4504.04
273|1415|2025-06-04|Bank Transfer|341.14
274|1864|2025-06-04|Direct Debit|6156.45
275|1876|2025-06-04|Direct Debit|11286.18
276|627|2025-06-05|Bank Transfer|13470.07
277|1086|2025-06-05|Bank Transfer|7620.68
278|1651|2025-06-05|Bank Transfer|9389.22
279|1147|2025-06-06|Bank Transfer|4317.47
280|1279|2025-06-06|Bank Transfer|3578.35
281|710|2025-06-08|Direct Debit|17308.88
282|66|2025-06-09|Direct Debit|1824.45
283|1147|2025-06-09|Bank Transfer|2878.32
284|1997|2025-06-10|Direct Debit|7507.05
285|220|2025-06-11|Direct Debit|757.75
286|520|2025-06-11|Bank Transfer|11256.30
287|1018|2025-06-13|Direct Debit|2970.32
288|1960|2025-06-14|Bank Transfer|11174.30
289|483|2025-06-15|Direct Debit|5660.89
290|651|2025-06-15|Credit Card|14973.52
291|1028|2025-06-15|Bank Transfer|8226.36
292|643|2025-06-16|Direct Debit|3149.16
293|920|2025-06-16|Bank Transfer|3533.28
294|1554|2025-06-16|Credit Card|8841.57
295|546|2025-06-17|Bank Transfer|2259.90
296|1628|2025-06-17|Bank Transfer|4501.60
297|1558|2025-06-19|Credit Card|16559.18
298|1667|2025-06-19|Direct Debit|1225.25
299|123|2025-06-20|Direct Debit|22929.05
300|399|2025-06-20|Bank Transfer|850.32
301|746|2025-06-20|Bank Transfer|2711.91
302|1467|2025-06-20|Bank Transfer|6160.76
303|1571|2025-06-20|Check|2168.48
304|1837|2025-06-20|Bank Transfer|2402.68
305|1074|2025-06-21|Bank Transfer|8449.88
306|509|2025-06-22|Bank Transfer|29693.77
307|600|2025-06-22|Bank Transfer|13786.15
308|874|2025-06-22|Credit Card|27826.98
309|989|2025-06-22|Bank Transfer|7464.77
310|1290|2025-06-22|Credit Card|22755.03
311|652|2025-06-23|Bank Transfer|10604.99
312|265|2025-06-24|Bank Transfer|11499.47
313|314|2025-06-24|Bank Transfer|5556.00
314|20|2025-06-25|Bank Transfer|4064.18
315|1034|2025-06-25|Bank Transfer|8673.56
316|1614|2025-06-25|Bank Transfer|1076.42
317|110|2025-06-26|Bank Transfer|13891.82
318|656|2025-06-26|Check|845.06
319|552|2025-06-27|Bank Transfer|7297.16
320|877|2025-06-27|Credit Card|9302.38
321|1250|2025-06-28|Credit Card|1958.82
322|1749|2025-06-28|Bank Transfer|5477.13
323|1060|2025-06-30|Bank Transfer|14885.10
324|641|2025-07-01|Direct Debit|4421.00
325|968|2025-07-01|Direct Debit|3744.89
326|1629|2025-07-01|Bank Transfer|3111.14
327|177|2025-07-02|Bank Transfer|18398.03
328|1154|2025-07-02|Bank Transfer|1351.92
329|385|2025-07-03|Direct Debit|30356.53
330|755|2025-07-03|Bank Transfer|22278.06
331|828|2025-07-03|Bank Transfer|20385.49
332|238|2025-07-04|Check|7327.90
333|1119|2025-07-04|Credit Card|26117.39
334|1158|2025-07-04|Bank Transfer|27902.39
335|1550|2025-07-04|Direct Debit|9208.84
336|1264|2025-07-05|Credit Card|9620.50
337|1414|2025-07-05|Credit Card|21230.71
338|1133|2025-07-06|Bank Transfer|8396.09
339|1866|2025-07-06|Check|7271.70
340|187|2025-07-07|Direct Debit|1320.52
341|358|2025-07-07|Bank Transfer|5923.03
342|467|2025-07-07|Bank Transfer|28654.07
343|1121|2025-07-07|Credit Card|2172.69
344|94|2025-07-08|Check|25539.69
345|548|2025-07-08|Bank Transfer|3057.36
346|816|2025-07-08|Direct Debit|6527.64
347|1200|2025-07-08|Bank Transfer|6041.96
348|1102|2025-07-09|Direct Debit|4540.84
349|1546|2025-07-09|Direct Debit|2406.67
350|1954|2025-07-10|Bank Transfer|16295.00
351|414|2025-07-11|Bank Transfer|3146.42
352|529|2025-07-11|Bank Transfer|15900.18
353|810|2025-07-11|Direct Debit|6996.70
354|884|2025-07-12|Bank Transfer|10346.10
355|1001|2025-07-12|Bank Transfer|11116.54
356|1166|2025-07-13|Check|20632.57
357|1412|2025-07-13|Bank Transfer|5096.24
358|1578|2025-07-13|Bank Transfer|4072.31
359|1948|2025-07-13|Direct Debit|22004.04
360|328|2025-07-14|Direct Debit|1461.57
361|1010|2025-07-14|Bank Transfer|2141.30
362|1465|2025-07-14|Bank Transfer|8211.42
363|1868|2025-07-14|Credit Card|7551.34
364|477|2025-07-15|Bank Transfer|10120.17
365|773|2025-07-15|Direct Debit|15535.40
366|908|2025-07-15|Bank Transfer|4131.24
367|1289|2025-07-15|Bank Transfer|16963.80
368|1183|2025-07-16|Bank Transfer|12204.76
369|7|2025-07-17|Bank Transfer|1410.48
370|602|2025-07-17|Bank Transfer|13397.90
371|1968|2025-07-17|Direct Debit|5900.33
372|1018|2025-07-18|Direct Debit|1980.22
373|1051|2025-07-18|Bank Transfer|4672.18
374|1372|2025-07-18|Bank Transfer|2854.49
375|161|2025-07-19|Bank Transfer|1103.02
376|685|2025-07-19|Bank Transfer|341.80
377|1532|2025-07-19|Credit Card|35534.83
378|1757|2025-07-19|Bank Transfer|4241.48
379|1014|2025-07-21|Direct Debit|2421.05
380|1219|2025-07-21|Credit Card|18746.75
381|1588|2025-07-21|Direct Debit|24481.23
382|1796|2025-07-21|Bank Transfer|9447.82
383|526|2025-07-22|Bank Transfer|19440.28
384|1081|2025-07-22|Credit Card|4226.54
385|358|2025-07-23|Bank Transfer|3948.68
386|399|2025-07-24|Direct Debit|1984.07
387|1486|2025-07-25|Bank Transfer|6334.53
388|6|2025-07-26|Direct Debit|3970.55
389|1425|2025-07-27|Bank Transfer|2368.15
390|1783|2025-07-27|Bank Transfer|5614.97
391|807|2025-07-28|Bank Transfer|5823.88
392|1530|2025-07-28|Bank Transfer|28650.97
393|1674|2025-07-28|Credit Card|1093.62
394|410|2025-07-29|Credit Card|2619.67
395|496|2025-07-29|Bank Transfer|2516.86
396|1533|2025-07-29|Credit Card|9194.52
397|1784|2025-07-29|Bank Transfer|2245.03
398|1974|2025-07-30|Bank Transfer|22016.70
399|209|2025-07-31|Bank Transfer|4261.17
400|474|2025-07-31|Direct Debit|1603.28
401|1399|2025-07-31|Direct Debit|9860.10
402|1272|2025-08-02|Bank Transfer|14028.74
403|414|2025-08-03|Bank Transfer|3146.42
404|245|2025-08-04|Direct Debit|15058.54
405|904|2025-08-04|Bank Transfer|2176.53
406|504|2025-08-05|Bank Transfer|5315.29
407|1594|2025-08-05|Direct Debit|4819.81
408|967|2025-08-06|Bank Transfer|13260.60
409|1189|2025-08-06|Direct Debit|3690.55
410|1208|2025-08-06|Bank Transfer|18645.53
411|1397|2025-08-06|Direct Debit|1281.14
412|90|2025-08-07|Credit Card|17019.76
413|311|2025-08-07|Bank Transfer|295.41
414|1786|2025-08-07|Check|27391.70
415|1925|2025-08-07|Direct Debit|3839.91
416|143|2025-08-08|Credit Card|11710.08
417|389|2025-08-08|Credit Card|4947.69
418|952|2025-08-08|Bank Transfer|3213.74
419|1565|2025-08-08|Direct Debit|4388.95
420|718|2025-08-09|Credit Card|8322.90
421|1023|2025-08-09|Bank Transfer|2949.42
422|1165|2025-08-09|Direct Debit|9668.99
423|576|2025-08-10|Bank Transfer|2764.72
424|1519|2025-08-10|Bank Transfer|9249.00
425|1821|2025-08-10|Bank Transfer|4740.96
426|1955|2025-08-11|Bank Transfer|13229.36
427|321|2025-08-12|Bank Transfer|32664.67
428|1096|2025-08-12|Direct Debit|1560.72
429|1411|2025-08-12|Credit Card|11854.88
430|1728|2025-08-12|Bank Transfer|1934.65
431|117|2025-08-13|Bank Transfer|10097.50
432|584|2025-08-13|Direct Debit|14921.60
433|727|2025-08-13|Direct Debit|32673.04
434|961|2025-08-13|Bank Transfer|5435.43
435|1176|2025-08-13|Direct Debit|7262.48
436|1188|2025-08-14|Bank Transfer|1629.93
437|1451|2025-08-14|Direct Debit|32462.24
438|1069|2025-08-15|Bank Transfer|3352.83
439|1141|2025-08-15|Bank Transfer|25881.01
440|1578|2025-08-16|Direct Debit|2714.87
441|1667|2025-08-16|Bank Transfer|816.83
442|425|2025-08-17|Bank Transfer|5419.88
443|691|2025-08-17|Direct Debit|898.37
444|781|2025-08-17|Direct Debit|15602.93
445|1163|2025-08-17|Direct Debit|2963.58
446|1557|2025-08-17|Bank Transfer|4319.82
447|1860|2025-08-17|Bank Transfer|2612.95
448|1990|2025-08-17|Credit Card|12668.66
449|458|2025-08-18|Bank Transfer|3889.03
450|654|2025-08-18|Bank Transfer|13630.72
451|840|2025-08-18|Bank Transfer|25769.82
452|1735|2025-08-18|Direct Debit|11187.42
453|317|2025-08-19|Credit Card|4350.80
454|956|2025-08-19|Direct Debit|6113.76
455|1516|2025-08-19|Bank Transfer|9364.65
456|1739|2025-08-19|Direct Debit|5438.21
457|44|2025-08-20|Bank Transfer|2042.00
458|1569|2025-08-20|Bank Transfer|21052.11
459|60|2025-08-21|Direct Debit|3402.22
460|1416|2025-08-21|Bank Transfer|1118.46
461|1641|2025-08-21|Bank Transfer|936.01
462|672|2025-08-22|Direct Debit|14187.28
463|1115|2025-08-22|Bank Transfer|29693.30
464|1129|2025-08-22|Bank Transfer|16817.73
465|33|2025-08-23|Bank Transfer|499.47
466|765|2025-08-23|Bank Transfer|1210.94
467|1917|2025-08-23|Bank Transfer|10652.31
468|637|2025-08-24|Bank Transfer|6089.39
469|1369|2025-08-24|Direct Debit|26326.39
470|774|2025-08-25|Bank Transfer|26373.72
471|1193|2025-08-25|Credit Card|8102.52
472|1213|2025-08-25|Bank Transfer|6905.95
473|1346|2025-08-25|Direct Debit|6736.41
474|313|2025-08-26|Direct Debit|3893.96
475|647|2025-08-26|Bank Transfer|3995.96
476|809|2025-08-26|Bank Transfer|12126.11
477|979|2025-08-26|Bank Transfer|4227.08
478|299|2025-08-27|Bank Transfer|11789.60
479|307|2025-08-27|Check|3320.75
480|815|2025-08-28|Credit Card|1629.73
481|986|2025-08-28|Direct Debit|282.54
482|1582|2025-08-28|Direct Debit|16937.56
483|1704|2025-08-28|Bank Transfer|1243.80
484|1985|2025-08-28|Bank Transfer|14550.80
485|99|2025-08-29|Direct Debit|6831.70
486|506|2025-08-29|Bank Transfer|15270.30
487|851|2025-08-29|Bank Transfer|2174.69
488|932|2025-08-31|Direct Debit|575.24
489|536|2025-09-01|Bank Transfer|10329.33
490|1719|2025-09-01|Bank Transfer|4442.68
491|1761|2025-09-01|Direct Debit|3329.16
492|274|2025-09-03|Bank Transfer|11851.73
493|445|2025-09-03|Check|3807.50
494|935|2025-09-03|Bank Transfer|1730.49
495|1068|2025-09-03|Direct Debit|113.81
496|455|2025-09-04|Direct Debit|1356.27
497|1372|2025-09-04|Bank Transfer|6660.47
498|1380|2025-09-06|Credit Card|25988.05
499|1762|2025-09-06|Direct Debit|24055.36
500|443|2025-09-08|Direct Debit|6904.60
501|471|2025-09-08|Bank Transfer|3781.55
502|898|2025-09-08|Bank Transfer|1975.59
503|717|2025-09-10|Bank Transfer|5656.19
504|852|2025-09-10|Bank Transfer|7691.64
505|1406|2025-09-10|Bank Transfer|8982.25
506|1047|2025-09-12|Bank Transfer|6558.46
507|1104|2025-09-12|Bank Transfer|21595.24
508|1671|2025-09-12|Direct Debit|543.03
509|482|2025-09-13|Bank Transfer|5631.86
510|1084|2025-09-13|Bank Transfer|3338.30
511|1267|2025-09-13|Direct Debit|8703.00
512|961|2025-09-14|Direct Debit|5435.42
513|1231|2025-09-14|Bank Transfer|16787.71
514|1407|2025-09-14|Bank Transfer|18731.58
515|1510|2025-09-14|Bank Transfer|6861.65
516|1624|2025-09-14|Bank Transfer|1810.25
517|336|2025-09-15|Bank Transfer|2634.80
518|765|2025-09-15|Bank Transfer|807.30
519|1036|2025-09-15|Bank Transfer|4386.20
520|1176|2025-09-15|Bank Transfer|7262.48
521|1523|2025-09-15|Credit Card|6446.15
522|362|2025-09-16|Bank Transfer|15892.08
523|1025|2025-09-16|Direct Debit|14149.95
524|1618|2025-09-16|Bank Transfer|6086.28
525|1355|2025-09-17|Credit Card|1469.43
526|1540|2025-09-17|Bank Transfer|13561.11
527|909|2025-09-18|Bank Transfer|3241.44
528|915|2025-09-18|Direct Debit|22869.34
529|1024|2025-09-18|Bank Transfer|27050.81
530|1883|2025-09-18|Check|8110.29
531|1972|2025-09-18|Bank Transfer|748.64
532|305|2025-09-19|Direct Debit|6064.36
533|1704|2025-09-20|Bank Transfer|1865.70
534|310|2025-09-21|Direct Debit|6965.41
535|505|2025-09-21|Bank Transfer|2572.18
536|988|2025-09-21|Bank Transfer|11903.34
537|1202|2025-09-21|Bank Transfer|6765.94
538|135|2025-09-22|Bank Transfer|19444.85
539|307|2025-09-22|Credit Card|3320.75
540|500|2025-09-22|Bank Transfer|11330.37
541|996|2025-09-22|Bank Transfer|2016.73
542|1295|2025-09-22|Direct Debit|11792.09
543|1408|2025-09-22|Bank Transfer|2868.76
544|1457|2025-09-22|Bank Transfer|6111.86
545|1460|2025-09-23|Credit Card|27313.52
546|809|2025-09-24|Credit Card|8084.07
547|1524|2025-09-24|Bank Transfer|3047.24
548|351|2025-09-25|Bank Transfer|6620.14
549|958|2025-09-25|Credit Card|21929.03
550|1730|2025-09-25|Direct Debit|28440.86
551|28|2025-09-26|Credit Card|5306.65
552|1242|2025-09-27|Bank Transfer|6029.15
553|555|2025-09-28|Credit Card|3634.76
554|689|2025-09-28|Bank Transfer|37188.06
555|1492|2025-09-28|Bank Transfer|23234.81
556|1823|2025-09-28|Bank Transfer|12198.16
557|1353|2025-09-29|Credit Card|5337.07
558|438|2025-09-30|Bank Transfer|12450.53
559|735|2025-09-30|Bank Transfer|1839.97
560|1184|2025-09-30|Direct Debit|2380.17
561|1889|2025-09-30|Direct Debit|4299.50
562|567|2025-10-01|Credit Card|14532.60
563|675|2025-10-01|Direct Debit|16876.46
564|1112|2025-10-01|Bank Transfer|24269.71
565|522|2025-10-02|Bank Transfer|649.62
566|1445|2025-10-02|Bank Transfer|10040.62
567|390|2025-10-03|Bank Transfer|23865.16
568|1461|2025-10-03|Direct Debit|10133.72
569|1843|2025-10-03|Direct Debit|24697.37
570|1898|2025-10-03|Direct Debit|13929.28
571|146|2025-10-04|Bank Transfer|23916.68
572|849|2025-10-04|Direct Debit|23147.39
573|903|2025-10-04|Check|4436.02
574|1151|2025-10-04|Direct Debit|13227.04
575|1603|2025-10-04|Bank Transfer|977.16
576|1835|2025-10-04|Bank Transfer|2047.88
577|798|2025-10-05|Direct Debit|8525.98
578|1282|2025-10-05|Direct Debit|24591.20
579|540|2025-10-06|Direct Debit|18800.17
580|1652|2025-10-06|Bank Transfer|30261.22
581|537|2025-10-07|Bank Transfer|4552.98
582|634|2025-10-07|Bank Transfer|1017.11
583|960|2025-10-07|Direct Debit|33951.81
584|1803|2025-10-07|Bank Transfer|11240.84
585|154|2025-10-08|Bank Transfer|9755.00
586|1338|2025-10-08|Bank Transfer|8198.75
