enrollment_id|student_id|course_id|term|score|attendance_pct
311|60|20|2025 Spring|64.77|79.14
312|124|7|2025 Spring|87.92|79.41
313|144|20|2025 Spring|65.35|92.83
314|127|23|2025 Spring|83.15|88.49
315|268|21|2025 Spring|81.08|99.77
316|137|3|2025 Spring|71.37|69.94
317|8|6|2025 Spring|71.32|85.48
318|186|23|2025 Spring|94.17|79.95
319|80|18|2025 Spring|61.37|88.26
320|142|14|2025 Spring|60.67|80.39
321|242|9|2025 Spring|64.92|69.86
322|115|24|2025 Spring|80.03|100.00
323|266|2|2025 Spring|85.18|81.17
324|275|7|2025 Spring|92.29|92.26
325|300|7|2025 Spring|87.47|86.08
326|179|23|2025 Spring|69.03|74.91
327|12|2|2025 Spring|90.94|87.79
328|174|15|2025 Spring|79.10|72.75
329|139|11|2025 Spring|73.82|85.90
330|74|2|2025 Spring|95.11|69.97
331|208|16|2025 Spring|70.21|100.00
332|132|7|2025 Spring|64.94|74.80
333|265|21|2025 Spring|84.93|45.01
334|189|21|2025 Spring|56.63|66.61
335|147|8|2025 Spring|50.37|71.41
336|131|11|2025 Spring|64.99|89.22
337|181|1|2025 Spring|49.69|100.00
338|197|20|2025 Spring|67.11|95.65
339|147|19|2025 Spring|69.57|80.87
340|194|17|2025 Spring|66.64|98.01
341|238|18|2025 Spring|76.64|70.78
342|28|5|2025 Spring|51.59|88.87
343|165|19|2025 Spring|70.17|88.18
344|15|7|2025 Spring|74.89|77.05
345|242|5|2025 Spring|63.19|74.08
346|113|15|2025 Spring|54.89|66.53
347|18|16|2025 Spring|80.89|78.78
348|38|16|2025 Spring|100.00|97.16
349|207|9|2025 Spring|74.13|97.04
350|6|15|2025 Spring|75.31|100.00
351|140|15|2025 Spring|91.25|97.76
352|22|17|2025 Spring|88.77|95.90
353|146|12|2025 Spring|80.84|90.54
354|1|5|2025 Spring|61.33|83.15
355|115|12|2025 Spring|65.99|81.12
356|30|7|2025 Spring|76.37|96.43
357|199|2|2025 Spring|97.58|80.59
358|142|6|2025 Spring|67.02|90.00
359|159|18|2025 Spring|54.98|83.23
360|214|18|2025 Spring|92.31|80.23
361|267|11|2025 Spring|62.99|83.18
362|247|10|2025 Spring|90.91|74.14
363|181|13|2025 Spring|73.96|91.27
364|106|12|2025 Spring|81.60|63.06
365|147|2|2025 Spring|83.40|93.64
366|262|13|2025 Spring|68.54|85.72
367|154|2|2025 Spring|63.67|69.49
368|116|11|2025 Spring|58.87|66.64
369|90|14|2025 Spring|67.21|65.75
370|63|16|2025 Spring|57.05|73.92
371|125|4|2025 Spring|46.26|81.27
372|41|10|2025 Spring|87.19|93.03
373|261|11|2025 Spring|95.59|85.84
374|115|17|2025 Spring|44.53|100.00
375|96|24|2025 Spring|54.22|80.56
376|168|8|2025 Spring|62.57|74.14
377|149|15|2025 Spring|72.49|80.34
378|288|19|2025 Spring|60.46|97.80
379|124|11|2025 Spring|53.90|84.40
380|210|17|2025 Spring|74.81|82.80
381|125|15|2025 Summer|70.47|84.70
382|233|4|2025 Summer|58.54|94.75
383|136|19|2025 Summer|73.14|98.93
384|248|16|2025 Summer|57.42|80.33
385|52|10|2025 Summer|91.36|74.40
386|254|15|2025 Summer|71.49|80.40
387|121|6|2025 Summer|71.31|82.70
388|123|12|2025 Summer|76.66|79.84
389|127|2|2025 Summer|58.86|100.00
390|49|2|2025 Summer|73.78|76.18
391|148|23|2025 Summer|61.01|79.30
392|67|12|2025 Summer|100.00|76.81
393|150|6|2025 Summer|68.14|71.04
394|171|17|2025 Summer|73.12|87.26
395|85|4|2025 Summer|70.07|100.00
396|59|8|2025 Summer|65.97|97.83
397|256|24|2025 Summer|76.00|100.00
398|170|7|2025 Summer|80.25|82.84
399|184|6|2025 Summer|80.52|91.06
400|91|15|2025 Summer|73.22|70.23
401|156|9|2025 Summer|62.70|77.01
402|13|15|2025 Summer|76.87|96.42
403|31|1|2025 Summer|78.04|77.13
404|292|23|2025 Summer|69.61|82.03
405|239|12|2025 Summer|70.64|72.10
406|243|13|2025 Summer|58.32|83.45
407|222|4|2025 Summer|67.56|80.23
408|100|10|2025 Summer|80.44|75.26
409|211|12|2025 Summer|66.06|88.85
410|77|20|2025 Summer|64.10|82.10
411|138|5|2025 Summer|58.61|85.40
412|256|16|2025 Summer|91.14|72.12
413|115|6|2025 Summer|74.30|91.42
414|265|24|2025 Summer|62.60|89.59
415|131|11|2025 Summer|71.75|87.45
416|45|1|2025 Summer|67.82|100.00
417|172|10|2025 Summer|100.00|79.37
418|187|11|2025 Summer|49.33|98.81
419|18|15|2025 Summer|73.49|78.50
420|92|16|2025 Summer|87.94|100.00
421|75|15|2025 Summer|66.51|100.00
422|139|15|2025 Summer|77.88|84.41
423|26|18|2025 Summer|68.77|75.32
424|138|8|2025 Summer|35.95|82.68
425|260|6|2025 Summer|61.78|82.60
426|268|19|2025 Summer|100.00|98.36
427|50|24|2025 Summer|100.00|62.14
428|127|17|2025 Summer|42.44|100.00
429|143|19|2025 Summer|66.05|75.37
430|145|6|2025 Summer|73.86|76.94
431|150|19|2025 Summer|48.77|100.00
432|103|3|2025 Summer|89.95|90.09
433|201|22|2025 Summer|84.79|99.22
434|48|10|2025 Summer|68.72|74.81
435|78|16|2025 Summer|85.13|97.91
436|95|15|2025 Summer|92.17|74.50
437|160|24|2025 Summer|98.41|85.12
438|35|10|2025 Summer|66.31|73.49
439|178|10|2025 Summer|92.40|97.68
440|252|1|2025 Summer|77.92|82.29
441|101|19|2025 Summer|76.37|98.78
442|44|10|2025 Summer|77.60|78.35
443|278|15|2025 Summer|64.93|84.98
444|195|2|2025 Summer|72.30|93.70
445|241|14|2025 Summer|50.68|91.91
446|213|2|2025 Summer|75.18|63.12
447|147|3|2025 Summer|79.10|80.25
448|286|11|2025 Summer|54.96|77.70
449|92|9|2025 Summer|87.78|85.34
450|140|20|2025 Summer|68.47|76.21
451|140|20|2025 Summer|42.39|82.78
452|142|10|2025 Summer|70.09|93.96
453|230|13|2025 Summer|81.83|84.53
454|245|22|2025 Summer|87.02|100.00
455|45|8|2025 Summer|56.61|77.89
456|89|20|2025 Summer|70.69|89.83
457|69|6|2025 Summer|80.16|90.49
458|58|19|2025 Summer|71.61|93.74
459|139|22|2025 Summer|71.16|90.72
460|259|3|2025 Summer|100.00|70.95
461|292|23|2025 Summer|100.00|89.56
462|66|1|2025 Summer|54.29|97.43
463|166|21|2025 Summer|68.51|73.36
464|128|5|2025 Summer|97.14|81.99
465|255|1|2025 Summer|79.92|76.92
466|291|11|2025 Summer|72.13|92.98
467|169|20|2025 Summer|75.51|85.26
468|172|3|2025 Summer|63.45|87.94
469|102|21|2025 Summer|53.88|90.23
470|250|2|2025 Summer|69.30|89.18
471|244|16|2025 Summer|57.96|92.69
472|254|10|2025 Summer|79.38|95.71
473|17|9|2025 Summer|64.80|100.00
474|164|11|2025 Summer|75.16|73.89
475|26|13|2025 Summer|100.00|85.94
476|298|21|2025 Summer|78.15|98.77
477|259|22|2025 Summer|67.61|79.42
478|152|7|2025 Summer|63.08|92.41
479|77|5|2025 Summer|60.23|90.65
480|118|3|2025 Summer|35.00|82.55
481|298|8|2025 Summer|75.07|79.76
482|200|14|2025 Summer|62.96|80.97
483|57|2|2025 Summer|65.80|80.16
484|277|13|2025 Summer|80.32|71.85
485|149|20|2025 Summer|75.59|88.37
486|68|23|2025 Summer|82.87|92.49
487|116|12|2025 Summer|67.69|84.81
488|130|16|2025 Summer|55.86|88.86
489|46|7|2025 Summer|98.77|88.19
490|170|5|2025 Summer|90.43|100.00
491|275|1|2025 Summer|94.56|65.28
492|188|9|2025 Summer|71.74|90.87
493|180|2|2025 Summer|69.46|74.81
494|187|24|2025 Summer|51.57|86.61
495|129|17|2025 Summer|52.13|89.83
496|177|3|2025 Summer|59.67|82.05
497|270|15|2025 Summer|75.73|94.33
498|97|14|2025 Summer|80.52|87.32
499|180|4|2025 Summer|77.57|76.94
500|238|9|2025 Summer|80.63|70.36
501|103|5|2025 Summer|82.39|78.65
502|51|9|2025 Summer|81.74|98.22
503|61|13|2025 Summer|78.92|76.75
504|254|24|2025 Summer|65.59|73.68
505|47|5|2025 Summer|65.29|100.00
506|288|3|2025 Summer|68.26|91.69
507|153|19|2025 Summer|90.12|90.39
508|160|21|2025 Summer|87.92|82.20
509|286|11|2025 Summer|64.19|79.83
510|283|13|2025 Summer|80.39|83.69
511|249|7|2025 Summer|71.59|83.34
512|133|6|2025 Summer|82.91|100.00
513|227|8|2025 Summer|80.91|98.34
514|57|21|2025 Summer|76.32|100.00
515|282|21|2025 Summer|78.08|68.06
516|254|4|2025 Summer|38.06|57.67
517|163|23|2025 Summer|87.54|77.09
518|150|9|2025 Summer|78.25|83.40
519|30|13|2025 Summer|70.20|99.38
520|217|10|2025 Summer|58.70|86.17
521|12|4|2025 Summer|77.11|72.64
522|176|18|2025 Summer|77.11|100.00
523|63|22|2025 Summer|56.84|57.98
524|239|10|2025 Summer|75.27|58.43
525|104|16|2025 Summer|97.29|97.81
526|107|9|2025 Summer|84.07|89.27
527|46|4|2025 Summer|76.72|87.72
528|8|15|2025 Summer|69.62|62.25
529|63|20|2025 Summer|35.00|67.77
530|46|12|2025 Summer|78.89|80.93
531|238|24|2025 Summer|62.44|82.00
532|44|19|2025 Summer|65.11|70.35
533|218|11|2025 Summer|77.89|64.05
534|179|3|2025 Summer|65.91|76.06
535|222|23|2025 Summer|36.87|86.83
536|170|18|2025 Summer|68.81|63.80
537|245|13|2025 Summer|79.00|93.81
538|288|22|2025 Summer|81.39|94.15
539|256|2|2025 Summer|96.85|83.25
540|237|14|2025 Summer|51.35|97.93
541|133|24|2025 Summer|88.40|83.06
542|142|1|2025 Summer|45.44|100.00
543|284|24|2025 Summer|48.73|66.97
544|179|10|2025 Summer|100.00|67.82
545|28|7|2025 Summer|77.79|100.00
546|160|24|2025 Summer|69.10|97.27
547|237|16|2025 Summer|74.95|100.00
548|156|24|2025 Summer|65.40|75.35
549|167|12|2025 Summer|66.98|81.32
550|14|9|2025 Summer|67.15|87.85
551|57|21|2025 Summer|58.43|81.54
552|295|23|2025 Summer|69.99|92.30
553|298|14|2025 Summer|53.77|94.39
554|21|16|2025 Summer|92.30|74.55
555|77|18|2025 Summer|74.73|79.39
556|125|11|2025 Summer|74.78|80.20
557|182|3|2025 Summer|72.31|81.33
558|198|4|2025 Summer|68.47|93.08
559|297|6|2025 Summer|93.33|67.15
560|182|5|2025 Summer|68.22|64.48
561|44|11|2025 Summer|78.15|91.96
562|276|23|2025 Summer|77.11|79.12
563|262|15|2025 Summer|93.02|91.06
564|241|2|2025 Summer|43.17|88.23
565|290|23|2025 Summer|64.70|74.83
566|255|1|2025 Summer|87.62|92.17
567|79|9|2025 Summer|83.66|91.38
568|149|24|2025 Summer|85.05|67.73
569|52|5|2025 Summer|86.62|83.00
570|241|10|2025 Summer|80.71|94.78
571|297|19|2025 Summer|81.19|100.00
572|169|24|2025 Summer|75.24|87.34
573|134|23|2025 Summer|66.10|98.01
574|53|14|2025 Summer|80.23|100.00
575|14|1|2025 Summer|83.55|83.54
576|153|5|2025 Summer|63.39|92.97
577|2|24|2025 Summer|67.88|81.24
578|21|12|2025 Summer|69.86|92.99
579|255|12|2025 Summer|77.09|88.54
580|267|6|2025 Summer|54.40|70.41
581|148|11|2025 Summer|68.38|82.95
582|76|15|2025 Summer|78.35|97.67
583|265|16|2025 Summer|77.21|77.74
584|14|12|2025 Summer|76.03|100.00
585|168|6|2025 Summer|77.64|78.31
586|48|4|2025 Summer|68.10|57.72
587|159|2|2025 Summer|94.80|86.91
588|253|8|2025 Summer|91.96|92.46
589|94|15|2025 Summer|67.37|71.58
590|156|15|2025 Summer|72.27|82.71
591|115|11|2025 Summer|72.54|88.67
592|190|4|2025 Summer|70.16|81.56
593|5|8|2025 Summer|70.82|83.80
594|62|9|2025 Summer|94.73|74.22
595|157|5|2025 Summer|69.01|72.39
596|68|12|2025 Summer|76.70|100.00
597|18|7|2025 Summer|58.69|91.02
598|287|23|2025 Summer|81.06|87.20
599|144|9|2025 Summer|65.68|79.52
600|34|4|2025 Summer|66.56|75.94
601|212|8|2025 Summer|100.00|68.37
602|70|8|2025 Summer|78.34|65.29
603|81|24|2025 Summer|81.72|99.23
604|245|5|2025 Summer|80.64|68.77
605|107|10|2025 Summer|100.00|100.00
606|294|5|2025 Summer|68.40|90.46
607|101|12|2025 Summer|55.98|74.10
608|42|18|2025 Summer|81.69|73.37
609|200|11|2025 Summer|53.33|100.00
610|71|5|2025 Summer|61.66|85.66
611|202|21|2025 Summer|64.12|67.31
612|9|5|2025 Summer|100.00|76.95
613|70|16|2025 Summer|82.61|86.80
614|204|8|2025 Summer|87.74|72.81
615|169|6|2025 Summer|76.62|92.55
616|277|4|2025 Summer|75.55|75.88
617|13|18|2025 Summer|75.99|75.48
618|288|3|2025 Summer|90.43|73.13
619|182|16|2025 Summer|75.31|85.86
620|160|2|2025 Summer|80.22|72.19
621|244|14|2025 Summer|71.38|92.16
622|287|4|2025 Summer|60.13|100.00
623|7|7|2025 Summer|66.05|73.34
624|190|21|2025 Summer|65.53|61.38
625|115|17|2025 Summer|70.91|90.72
626|12|22|2025 Summer|78.15|82.95
627|16|15|2025 Summer|100.00|94.64
628|249|18|2025 Summer|93.51|76.55
629|220|5|2025 Summer|87.20|87.25
630|165|19|2025 Summer|75.96|100.00
631|32|7|2025 Summer|74.87|75.63
632|31|16|2025 Summer|66.90|84.89
633|118|1|2025 Summer|81.26|75.13
634|261|10|2025 Summer|63.07|100.00
635|121|10|2025 Summer|60.71|72.65
636|43|19|2025 Summer|100.00|92.44
637|154|24|2025 Summer|72.14|57.24
638|92|21|2025 Summer|80.27|88.98
639|127|7|2025 Summer|65.62|87.96
640|46|19|2025 Summer|63.25|100.00
641|166|2|2025 Summer|66.09|92.39
642|285|11|2025 Summer|57.06|100.00
643|291|23|2025 Summer|57.10|100.00
644|31|2|2025 Summer|100.00|72.22
645|115|20|2025 Summer|83.02|89.28
646|111|14|2025 Summer|58.48|97.26
647|49|8|2025 Summer|68.99|74.06
648|33|7|2025 Summer|77.43|77.92
649|300|6|2025 Summer|79.38|79.81
650|292|20|2025 Summer|80.86|95.26
651|208|20|2025 Summer|80.94|100.00
652|135|24|2025 Summer|70.05|92.20
653|235|5|2025 Summer|93.37|79.62
654|202|12|2025 Summer|75.53|100.00
655|89|6|2025 Summer|69.33|93.75
656|49|4|2025 Summer|61.07|73.93
657|95|22|2025 Summer|86.82|75.51
658|277|7|2025 Summer|65.76|82.66
659|257|20|2025 Summer|72.67|90.42
660|201|22|2025 Summer|50.83|84.65
661|126|13|2025 Summer|70.66|83.14
662|57|16|2025 Summer|63.37|90.88
663|103|4|2025 Summer|85.75|100.00
664|57|8|2025 Summer|100.00|85.34
