shipment_id|tracking_no|carrier_id|origin_depot_id|booked_date|delivered_date|status|dest_country|dest_city|weight_kg|shipping_cost|service_level|pallets|transit_days
21|TRK-2025-000021|2|24|2025-06-16|2025-06-23|Delivered|Germany|Cologne|1871.56|96.61|Standard|8|7
22|TRK-2025-000022|7|3|2025-12-02|2025-12-15|Delivered|Italy|Rome|1271.14|38.34|Standard|6|13
23|TRK-2025-000023|1|7|2025-06-07|2025-06-11|Delivered|Germany|Hamburg|2351.26|116.75|Standard|6|4
24|TRK-2025-000024|2|3|2025-09-02|2025-09-05|Delivered|Italy|Rome|1156.22|66.56|Standard|3|3
25|TRK-2026-000025|8|22|2026-05-12|2026-05-24|Returned|United Kingdom|Manchester|494.11|28.79|Economy|2|12
26|TRK-2025-000026|2|18|2025-02-15|2025-02-18|Delivered|Switzerland|Zurich|10045.11|439.89|Standard|26|3
27|TRK-2025-000027|10|18|2025-05-21|2025-05-28|Delivered|Germany|Frankfurt|1184.04|51.15|Standard|3|7
28|TRK-2025-000028|7|24|2025-12-16|2026-01-06|Delivered|France|Lyon|652.23|28.44|Standard|2|21
29|TRK-2025-000029|4|8|2025-09-06|2025-09-12|Delivered|Austria|Graz|1177.74|56.58|Economy|6|6
30|TRK-2025-000030|10|24|2025-06-15|2025-06-23|Delivered|Switzerland|Geneva|689.97|37.32|Standard|3|8
31|TRK-2025-000031|8|18|2025-07-26|2025-08-01|Delivered|Poland|Warsaw|801.43|40.44|Standard|2|6
32|TRK-2025-000032|9|3|2025-03-28|2025-03-31|Delivered|France|Paris|1575.73|86.39|Express|6|3
33|TRK-2026-000033|10|2|2026-08-10|2026-08-14|Delivered|Spain|Seville|212.68|27.23|Express|1|4
34|TRK-2025-000034|7|27|2025-07-28|2025-08-23|Delivered|Belgium|Antwerp|1112.29|31.88|Economy|6|26
35|TRK-2025-000035|1|9|2025-02-20|2025-03-01|Delivered|United Kingdom|London|3296.76|126.00|Economy|8|9
36|TRK-2025-000036|10|20|2025-10-02|2025-10-16|Delivered|France|Lyon|673.51|32.71|Economy|3|14
37|TRK-2025-000037|2|16|2025-03-24|2025-03-26|Delivered|Germany|Cologne|670.83|61.67|Express|3|2
38|TRK-2026-000038|6|29|2026-05-04|2026-05-19|Delivered|Italy|Rome|240.69|23.97|Express|1|15
39|TRK-2026-000039|3|11|2026-07-08|2026-07-12|Delivered|Portugal|Lisbon|621.65|44.11|Standard|3|4
40|TRK-2025-000040|1|10|2025-07-29|2025-08-05|Returned|Austria|Vienna|1149.60|55.66|Economy|3|7
41|TRK-2026-000041||19|2026-09-12||Awaiting Pickup|Spain|Barcelona|801.65|44.26|Economy|3|
42|TRK-2025-000042|3|6|2025-02-19|2025-02-22|Delivered|Germany|Munich|245.58|33.99|Express|1|3
43|TRK-2025-000043|4|12|2025-09-26|2025-10-03|Delivered|Italy|Milan|1539.39|68.43|Economy|4|7
44|TRK-2026-000044|8|18|2026-02-08|2026-02-15|Delivered|Belgium|Ghent|964.03|44.99|Standard|4|7
45|TRK-2025-000045|1|17|2025-05-12|2025-05-19|Delivered|Denmark|Copenhagen|808.93|44.50|Economy|2|7
46|TRK-2025-000046|4|10|2025-08-23|2025-08-30|Delivered|Poland|Warsaw|428.61|36.00|Standard|2|7
47|TRK-2025-000047|1|8|2025-04-23|2025-04-28|Delivered|Italy|Naples|3201.18|152.45|Standard|8|5
48|TRK-2025-000048|4|13|2025-03-01|2025-03-03|Delivered|Poland|Gdansk|600.26|57.08|Express|2|2
49|TRK-2025-000049|10|16|2025-04-15|2025-04-18|Delivered|Netherlands|Amsterdam|459.70|37.95|Express|2|3
50|TRK-2026-000050|8|2|2026-02-17|2026-02-23|Delivered|Germany|Frankfurt|2092.41|76.59|Standard|8|6
51|TRK-2025-000051|4|7|2025-04-17|2025-04-20|Delivered|France|Toulouse|4603.77|211.36|Standard|12|3
52|TRK-2026-000052|1|24|2026-01-22|2026-01-29|Delivered|Belgium|Ghent|1261.91|71.00|Standard|6|7
53|TRK-2026-000053|5|18|2026-05-04|2026-05-22|Delivered|United Kingdom|Manchester|3471.42|73.54|Standard|12|18
54|TRK-2025-000054|2|7|2025-06-10|2025-06-14|Delivered|Austria|Vienna|515.44|39.65|Standard|2|4
55|TRK-2025-000055|8|8|2025-08-31|2025-09-06|Delivered|France|Paris|941.80|44.37|Standard|4|6
56|TRK-2025-000056|8|21|2025-01-14|2025-01-19|Delivered|Germany|Munich|223.62|22.88|Economy|1|5
57|TRK-2026-000057|99|14|2026-08-07|2026-08-16|Delivered|Germany|Hamburg|802.51|44.29|Economy|3|9
58|TRK-2025-000058|2|1|2025-10-29|2025-11-08|Delivered|Germany|Berlin|1085.73|53.57|Economy|6|10
59|TRK-2025-000059|8|24|2025-12-14|2025-12-18|Delivered|Italy|Naples|922.02|43.82|Standard|4|4
60|TRK-2026-000060|5|11|2026-09-17|2026-09-30|Delivered|Spain|Barcelona|1524.78|42.40|Standard|4|13
61|TRK-2026-000061|10|1|2026-07-01|2026-07-10|Delivered|Czechia|Brno|1405.21|48.69|Economy|6|9
62|TRK-2025-000062|10|16|2025-04-30|2025-05-09|Delivered|Italy|Naples|1494.40|59.84|Standard|4|9
63|TRK-2026-000063|8|23|2026-04-13|2026-04-18|Delivered|Spain|Valencia|1613.03|63.16|Standard|4|5
64|TRK-2026-000064|3|16|2026-01-18|2026-01-20|Returned|Czechia|Prague|2882.61|205.66|Express|8|2
65|TRK-2025-000065|7|14|2025-12-08|2026-01-04|Delivered|Spain|Barcelona|889.82|32.24|Standard|3|27
66|TRK-2025-000066|8|16|2025-09-10|2025-09-18|Delivered|Belgium|Antwerp|247.54|24.93|Standard|1|8
67|TRK-2025-000067|6|28|2025-07-10|2025-08-05|Delivered|Spain|Valencia|197.62|21.16|Standard|1|26
68|TRK-2026-000068|2|27|2026-07-08|2026-07-10|Delivered|Poland|Krakow|317.51|38.67|Express|1|2
69|TRK-2026-000069|3|2|2026-02-25|2026-03-04|Returned|France|Lyon|1969.71|100.73|Standard|6|7
70|TRK-2025-000070|3|17|2025-12-01|2025-12-06|Delivered|Netherlands|Amsterdam|3799.59|177.58|Standard|18|5
71|TRK-2025-000071|3|2|2025-12-31|2026-01-02|Delivered|Germany|Cologne|1101.77|64.27|Standard|3|2
72|TRK-2025-000072|3|3|2025-11-15|2025-11-22|Returned|Switzerland|Zurich|2403.56|118.95|Standard|12|7
73|TRK-2025-000073|8|3|2025-08-04|2025-08-08|Delivered|Austria|Graz|432.50|36.77|Express|2|4
74|TRK-2025-000074|9|27|2025-01-03|2025-01-11|Delivered|Italy|Naples|233.50|24.54|Standard|1|8
75|TRK-2025-000075|3|14|2025-12-09|2025-12-11|Delivered|Germany|Frankfurt|770.29|50.35|Standard|3|2
76|TRK-2026-000076|4|1|2026-06-03|2026-06-05|Returned|Spain|Barcelona|1066.96|87.46|Express|3|2
77|TRK-2026-000077||24|2026-09-21||Awaiting Pickup|Poland|Krakow|2734.16|132.83|Standard|12|
78|TRK-2025-000078|9|17|2025-08-20|2025-08-24|Returned|United Kingdom|Manchester|992.65|45.79|Standard|3|4
79|TRK-2026-000079|10|18|2026-08-18|2026-08-25|Delivered|Switzerland|Geneva|406.21|29.37|Standard|2|7
80|TRK-2025-000080|10|5|2025-05-21|2025-05-25|Delivered|Italy|Turin|1171.71|68.85|Express|3|4
81|TRK-2025-000081|2|18|2025-05-20|2025-05-27|Delivered|Netherlands|Rotterdam|2275.37|92.54|Economy|6|7
82|TRK-2026-000082|10|15|2026-04-12|2026-04-15|Delivered|Sweden|Malmo|1641.32|63.96|Standard|4|3
83|TRK-2026-000083|10|27|2026-09-06|2026-09-12|Delivered|Germany|Hamburg|2575.07|90.10|Standard|8|6
84|TRK-2025-000084|10|18|2025-11-12|2025-11-16|Delivered|Czechia|Prague|2229.98|80.44|Standard|6|4
85|TRK-2025-000085|2|12|2025-09-29|2025-10-02|Delivered|Italy|Turin|2132.41|156.82|Express|8|3
86|TRK-2026-000086|5|14|2026-05-26|2026-06-06|Delivered|Spain|Seville|796.52|30.74|Standard|3|11
87|TRK-2025-000087|2|12|2025-04-28|2025-04-30|Delivered|France|Paris|7144.44|318.07|Standard|26|2
88|TRK-2026-000088|3|29|2026-03-28|2026-03-31|Delivered|Switzerland|Zurich|7222.60|321.35|Standard|18|3
89|TRK-2025-000089|10|12|2025-02-27|2025-03-05|Delivered|Belgium|Antwerp|282.33|25.91|Standard|1|6
90|TRK-2025-000090|1|23|2025-09-20|2025-09-25|Delivered|Switzerland|Geneva|831.27|52.91|Standard|2|5
91|TRK-2025-000091|3|17|2025-07-14|2025-07-20|Delivered|Austria|Linz|728.69|48.60|Standard|3|6
92|TRK-2026-000092|2|10|2026-01-16|2026-01-26|Delivered|France|Paris|1057.99|52.66|Economy|4|10
93|TRK-2026-000093||21|2026-09-11||Awaiting Pickup|Spain|Valencia|368.05|33.46|Standard|1|
94|TRK-2026-000094|10|11|2026-08-09|2026-08-12|Returned|Denmark|Copenhagen|343.06|32.89|Express|1|3
95|TRK-2025-000095|10|22|2025-02-01|2025-02-05|Delivered|Netherlands|Amsterdam|228.26|27.91|Express|1|4
96|TRK-2026-000096|3|14|2026-06-21|2026-06-28|Delivered|Netherlands|Rotterdam|1247.26|58.86|Economy|4|7
97|TRK-2025-000097|1|18|2025-10-06|2025-10-08|Delivered|France|Marseille|296.84|37.32|Express|1|2
98|TRK-2026-000098|8|4|2026-01-30|2026-02-08|Returned|Germany|Hamburg|1472.70|59.24|Standard|6|9
99|TRK-2025-000099|10|9|2025-08-29|2025-09-01|Delivered|Netherlands|Amsterdam|404.40|29.32|Standard|1|3
100|TRK-2026-000100|4|19|2026-08-24|2026-08-27|Delivered|Portugal|Lisbon|327.33|39.31|Express|1|3
101|TRK-2026-000101|10|18|2026-04-23|2026-05-02|Delivered|Denmark|Copenhagen|488.81|31.69|Standard|2|9
102|TRK-2025-000102|4|11|2025-12-21|2025-12-23|Delivered|Spain|Seville|263.39|29.06|Standard|1|2
103|TRK-2026-000103|1|19|2026-04-29|2026-05-02|Delivered|Germany|Frankfurt|1255.12|99.71|Express|4|3
104|TRK-2026-000104|1|29|2026-08-18|2026-08-26|Delivered|Germany|Hamburg|1158.54|55.95|Economy|3|8
105|TRK-2025-000105|2|1|2025-07-27|2025-07-30|Delivered|France|Toulouse|216.38|27.09|Standard|1|3
106|TRK-2025-000106|6|11|2025-12-08|2026-01-01|Delivered|Germany|Munich|181.90|20.91|Standard|1|24
107|TRK-2026-000107|2|25|2026-07-22|2026-07-24|Delivered|Netherlands|Amsterdam|1443.58|111.98|Express|4|2
108|TRK-2025-000108|8|4|2025-04-14|2025-04-18|Delivered|Italy|Rome|1359.05|76.98|Express|4|4
109|TRK-2026-000109|3|3|2026-06-28|2026-07-08|Delivered|France|Lyon|587.64|37.25|Economy|3|10
110|TRK-2026-000110||21|2026-09-18||Awaiting Pickup|Germany|Munich|2479.06|122.12|Standard|6|
111|TRK-2025-000111|4|25|2025-11-09|2025-11-20|Delivered|France|Paris|388.46|30.73|Economy|1|11
112|TRK-2026-000112|1|3|2026-03-04|2026-03-11|Delivered|Austria|Graz|350.65|29.49|Economy|1|7
113|TRK-2026-000113|3|24|2026-06-09|2026-06-19|Delivered|Belgium|Ghent|1861.51|78.98|Economy|8|10
114|TRK-2026-000114|4|12|2026-05-12|2026-05-14|Delivered|Poland|Gdansk|1003.71|83.34|Express|4|2
115|TRK-2025-000115|7|29|2025-03-09|2025-03-20|Delivered|United Kingdom|Birmingham|2469.81|79.25|Express|6|11
116|TRK-2026-000116|9|25|2026-08-09|2026-08-13|Delivered|Belgium|Brussels|1649.30|89.58|Express|8|4
117|TRK-2025-000117|8|27|2025-01-19|2025-01-31|Delivered|United Kingdom|Birmingham|1519.45|51.18|Economy|6|12
118|TRK-2026-000118|3|15|2026-06-22|2026-06-29|Delivered|France|Toulouse|2894.54|139.57|Standard|8|7
119|TRK-2025-000119|8|4|2025-01-20|2025-01-29|Delivered|Spain|Madrid|2692.07|93.38|Standard|8|9
120|TRK-2025-000120|10|9|2025-09-20|2025-09-25|Delivered|United Kingdom|London|448.35|30.55|Standard|2|5
121|TRK-2025-000121|7|7|2025-09-13|2025-09-30|Delivered|Germany|Hamburg|5430.94|104.90|Standard|18|17
122|TRK-2026-000122|3|10|2026-07-25|2026-08-01|Delivered|Czechia|Brno|725.15|48.46|Standard|4|7
123|TRK-2026-000123|1|8|2026-06-18|2026-06-20|Delivered|Sweden|Stockholm|226.99|32.78|Express|1|2
124|TRK-2026-000124|4|9|2026-08-23|2026-08-25|Delivered|France|Toulouse|348.90|40.71|Express|1|2
125|TRK-2025-000125|2|6|2025-10-06|2025-10-12|Delivered|Netherlands|Rotterdam|300.58|30.62|Standard|1|6
126|TRK-2026-000126|2|12|2026-08-21|2026-08-28|Delivered|Netherlands|Eindhoven|1181.20|67.61|Standard|3|7
127|TRK-2025-000127|1|1|2025-03-11|2025-03-18|Delivered|France|Lyon|364.47|29.94|Economy|1|7
128|TRK-2025-000128|2|14|2025-10-06|2025-10-12|Delivered|Spain|Madrid|1280.67|71.79|Standard|4|6
129|TRK-2025-000129|10|9|2025-03-27|2025-03-30|Delivered|Belgium|Antwerp|398.26|29.15|Standard|1|3
130|TRK-2025-000130|2|16|2025-03-27|2025-03-30|Delivered|Germany|Berlin|1048.80|86.28|Express|3|3
131|TRK-2026-000131|10|5|2026-07-03|2026-07-10|Delivered|France|Paris|527.46|32.77|Standard|2|7
132|TRK-2025-000132|1|11|2025-02-07|2025-02-14|Delivered|Germany|Berlin|1175.17|56.50|Economy|4|7
133|TRK-2025-000133|3|25|2025-02-12|2025-02-17|Delivered|Belgium|Antwerp|240.25|25.87|Economy|1|5
134|TRK-2026-000134|3|6|2026-04-11|2026-04-16|Delivered|Spain|Seville|1142.31|65.98|Standard|3|5
135|TRK-2025-000135|1|20|2025-10-17|2025-10-21|Delivered|Netherlands|Amsterdam|194.81|26.18|Standard|1|4
136|TRK-2025-000136|2|29|2025-07-30|2025-08-01|Returned|Switzerland|Zurich|409.52|35.20|Standard|2|2
137|TRK-2026-000137|8|27|2026-03-13|2026-03-16|Delivered|Germany|Munich|506.09|32.17|Standard|2|3
138|TRK-2026-000138|1|18|2026-09-29||In Transit|Poland|Warsaw|3254.21|124.61|Economy|18|
139|TRK-2025-000139|10|4|2025-04-25|2025-04-30|Delivered|Portugal|Lisbon|294.38|26.24|Standard|1|5
140|TRK-2026-000140|1|25|2026-09-01|2026-09-08|Delivered|Germany|Cologne|395.16|34.60|Standard|1|7
141|TRK-2025-000141|4|25|2025-09-05|2025-09-11|Returned|Germany|Hamburg|371.06|33.58|Standard|1|6
142|TRK-2025-000142|3|1|2025-11-27|2025-12-09|Delivered|Spain|Valencia|7449.62|262.05|Economy|26|12
143|TRK-2026-000143|2|2|2026-07-29|2026-08-07|Delivered|Italy|Milan|358.01|29.73|Economy|1|9
144|TRK-2025-000144|8|1|2025-06-13|2025-06-16|Delivered|France|Marseille|306.07|26.57|Standard|1|3
145|TRK-2026-000145|10|21|2026-02-15|2026-02-22|Delivered|Germany|Berlin|1480.26|59.45|Standard|4|7
146|TRK-2025-000146|4|28|2025-10-06|2025-10-11|Delivered|Belgium|Brussels|813.67|44.66|Economy|2|5
147|TRK-2026-000147|5|14|2026-01-02|2026-01-12|Delivered|Germany|Frankfurt|477.14|29.83|Express|2|10
148|TRK-2025-000148|4|23|2025-03-17|2025-03-20|Delivered|Germany|Hamburg|3288.29|232.07|Express|8|3
149|TRK-2025-000149|1|28|2025-11-13|2025-11-16|Delivered|Italy|Turin|1407.53|109.63|Express|6|3
150|TRK-2026-000150|10|19|2026-03-27|2026-04-05|Delivered|United Kingdom|Birmingham|1647.22|64.12|Standard|4|9
151|TRK-2025-000151|5|16|2025-09-13|2025-10-06|Delivered|Spain|Seville|766.28|30.26|Standard|2|23
152|TRK-2026-000152|1|28|2026-03-26|2026-04-02|Delivered|France|Lyon|828.08|52.78|Standard|2|7
153|TRK-2025-000153|1|19|2025-07-29|2025-08-09|Delivered|France|Paris|6108.24|218.11|Economy|18|11
154|TRK-2025-000154|2|13|2025-04-21|2025-04-26|Delivered|Spain|Barcelona|6842.92|305.40|Standard|26|5
155|TRK-2026-000155|3|6|2026-03-11|2026-03-15|Delivered|France|Lyon|1338.78|61.86|Economy|4|4
156|TRK-2025-000156|5|16|2025-04-18|2025-04-30|Delivered|Belgium|Ghent|2966.24|91.56|Express|8|12
157|TRK-2025-000157|10|11|2025-11-19|2025-12-02|Delivered|Italy|Rome|1160.72|43.35|Economy|4|13
158|TRK-2025-000158|2|20|2025-06-22|2025-06-25|Delivered|Denmark|Aarhus|1642.53|86.99|Standard|6|3
159|TRK-2025-000159|9|19|2025-03-24|2025-03-28|Delivered|Germany|Frankfurt|279.50|25.83|Standard|1|4
160|TRK-2026-000160|2|24|2026-01-28|2026-01-31|Delivered|France|Lyon|3721.48|260.27|Express|12|3
161|TRK-2025-000161|10|3|2025-08-27|2025-09-09|Delivered|Belgium|Ghent|587.54|30.83|Economy|2|13
162|TRK-2026-000162|9|13|2026-03-27|2026-03-31|Delivered|United Kingdom|London|249.31|24.98|Standard|1|4
163|TRK-2025-000163|3|12|2025-03-26|2025-03-29|Delivered|Austria|Graz|1418.54|110.35|Express|4|3
164|TRK-2026-000164|10|4|2026-02-03|2026-02-12|Delivered|Germany|Hamburg|2479.76|87.43|Standard|8|9
165|TRK-2025-000165|3|11|2025-07-29|2025-08-01|Delivered|Portugal|Porto|316.42|31.29|Standard|1|3
166|TRK-2026-000166|3|28|2026-06-09|2026-06-11|Delivered|Netherlands|Amsterdam|407.74|35.13|Standard|1|2
167|TRK-2025-000167|2|17|2025-08-19|2025-08-21|Delivered|Sweden|Gothenburg|2134.84|107.66|Standard|6|2
168|TRK-2026-000168|1|20|2026-06-08|2026-06-11|Delivered|Belgium|Antwerp|296.13|30.44|Standard|1|3
169|TRK-2026-000169|1|20|2026-04-28|2026-05-01|Delivered|France|Paris|744.32|49.26|Standard|2|3
170|TRK-2026-000170|4|16|2026-05-21|2026-05-23|Returned|Belgium|Brussels|1810.15|135.84|Express|8|2
171|TRK-2025-000171|5|29|2025-11-06|2025-11-16|Delivered|Sweden|Stockholm|1631.77|58.47|Express|4|10
172|TRK-2025-000172|3|14|2025-05-19|2025-05-30|Delivered|Spain|Madrid|319.68|28.47|Economy|1|11
173|TRK-2025-000173|2|21|2025-09-16|2025-09-23|Delivered|Netherlands|Rotterdam|399.56|34.78|Standard|2|7
174|TRK-2025-000174|3|10|2025-06-06|2025-06-08|Delivered|Switzerland|Basel|868.59|74.55|Express|3|2
175|TRK-2025-000175|1|18|2025-07-03|2025-07-07|Delivered|France|Marseille|588.38|37.28|Economy|2|4
176|TRK-2025-000176|9|5|2025-10-29|2025-11-06|Delivered|Netherlands|Eindhoven|2841.61|97.57|Standard|8|8
177|TRK-2026-000177|8|18|2026-06-30|2026-07-08|Delivered|Germany|Hamburg|1181.07|51.07|Standard|3|8
178|TRK-2025-000178|10|13|2025-03-17|2025-03-25|Delivered|Spain|Seville|3310.84|110.70|Standard|12|8
179|TRK-2026-000179|9|20|2026-05-14|2026-05-18|Delivered|France|Marseille|1306.70|74.71|Express|6|4
180|TRK-2025-000180|3|11|2025-05-10|2025-05-12|Delivered|Spain|Barcelona|386.27|34.22|Standard|2|2
181|TRK-2025-000181|1|10|2025-09-19|2025-09-22|Delivered|Denmark|Copenhagen|416.47|35.49|Standard|1|3
182|TRK-2026-000182|7|23|2026-04-19|2026-05-19|Returned|France|Marseille|1495.97|41.94|Standard|4|30
183|TRK-2026-000183|8|11|2026-02-03|2026-02-15|Delivered|Netherlands|Eindhoven|5667.44|141.78|Economy|26|12
184|TRK-2025-000184|5|23|2025-08-13|2025-08-24|Delivered|France|Paris|838.54|31.42|Standard|2|11
185|TRK-2025-000185|2|24|2025-09-14|2025-09-21|Returned|Netherlands|Rotterdam|753.43|42.68|Economy|2|7
186|TRK-2025-000186|6|7|2025-02-03|2025-02-20|Delivered|Czechia|Brno|609.78|27.76|Standard|2|17
187|TRK-2025-000187|9|28|2025-07-11|2025-07-15|Delivered|Portugal|Porto|280.09|30.16|Express|1|4
188|TRK-2026-000188|1|29|2026-01-18|2026-01-24|Delivered|France|Paris|232.34|27.76|Standard|1|6
189|TRK-2025-000189|9|16|2025-02-28|2025-03-03|Delivered|Sweden|Gothenburg|614.64|44.68|Express|2|3
190|TRK-2026-000190|3|2|2026-06-19|2026-06-27|Delivered|Germany|Munich|833.84|45.32|Economy|2|8
191|TRK-2026-000191|7|16|2026-05-24|2026-06-16|Delivered|Switzerland|Geneva|399.96|24.40|Standard|1|23
192|TRK-2026-000192|1|14|2026-04-05|2026-04-07|Delivered|Sweden|Gothenburg|1618.28|123.35|Express|4|2
193|TRK-2026-000193|1|8|2026-08-25|2026-08-31|Delivered|Germany|Cologne|2895.09|139.59|Standard|8|6
194|TRK-2025-000194|6|25|2025-12-10|2026-01-05|Delivered|Spain|Barcelona|589.90|27.44|Standard|2|26
195|TRK-2026-000195|8|13|2026-07-04|2026-07-09|Delivered|Belgium|Brussels|2366.00|84.25|Standard|6|5
196|TRK-2025-000196|9|19|2025-07-29|2025-08-07|Delivered|Spain|Valencia|398.22|29.15|Standard|1|9
197|TRK-2025-000197|6|10|2025-01-16|2025-02-15|Delivered|Austria|Linz|663.19|26.28|Economy|2|30
198|TRK-2025-000198|4|10|2025-09-11|2025-09-13|Delivered|Spain|Barcelona|394.23|34.56|Standard|1|2
199|TRK-2025-000199|7|21|2025-12-19|2025-12-29|Delivered|Belgium|Ghent|1426.02|53.37|Express|4|10
200|TRK-2026-000200|6|27|2026-03-13|2026-04-12|Delivered|Spain|Seville|2327.37|47.05|Economy|6|30
201|TRK-2026-000201|3|11|2026-04-03|2026-04-06|Returned|Netherlands|Amsterdam|658.86|60.89|Express|2|3
202|TRK-2026-000202|9|12|2026-06-28|2026-07-02|Delivered|United Kingdom|Manchester|758.66|39.24|Standard|2|4
203|TRK-2025-000203|10|23|2025-12-12|2025-12-24|Delivered|Belgium|Antwerp|1829.56|57.96|Economy|8|12
204|TRK-2025-000204|5|14|2025-02-09|2025-02-20|Delivered|Poland|Gdansk|289.32|25.18|Express|1|11
205|TRK-2025-000205|1|10|2025-07-13|2025-07-15|Delivered|France|Toulouse|368.89|42.01|Express|1|2
206|TRK-2025-000206|2|29|2025-12-03|2025-12-05|Delivered|Spain|Barcelona|810.46|52.04|Standard|2|2
207|TRK-2026-000207|9|9|2026-06-30|2026-07-03|Delivered|Austria|Vienna|455.49|30.75|Standard|2|3
208|TRK-2026-000208|10|24|2026-08-04|2026-08-16|Delivered|Netherlands|Rotterdam|843.36|36.42|Economy|3|12
209|TRK-2025-000209|1|15|2025-09-18|2025-09-25|Delivered|Spain|Seville|1444.34|78.66|Standard|4|7
210|TRK-2026-000210|3|21|2026-07-29|2026-08-01|Delivered|Germany|Munich|5642.41|254.98|Standard|18|3
211|TRK-2025-000211|1|2|2025-05-06|2025-05-10|Delivered|France|Toulouse|862.19|46.25|Economy|3|4
212|TRK-2025-000212|3|27|2025-01-15|2025-01-18|Delivered|Italy|Naples|896.52|55.65|Standard|3|3
213|TRK-2026-000213|2|29|2026-08-14|2026-08-20|Delivered|France|Marseille|540.75|40.71|Standard|2|6
214|TRK-2025-000214|2|24|2025-05-10|2025-05-22|Delivered|Germany|Frankfurt|2402.65|96.71|Economy|8|12
215|TRK-2026-000215|8|3|2026-01-20|2026-02-02|Delivered|Austria|Graz|367.96|26.04|Economy|2|13
216|TRK-2025-000216|2|23|2025-05-31|2025-06-02|Delivered|France|Paris|1319.81|103.92|Express|6|2
217|TRK-2025-000217|3|18|2025-05-06|2025-05-08|Delivered|Germany|Hamburg|2004.89|148.52|Express|6|2
218|TRK-2025-000218|2|4|2025-03-30|2025-04-05|Delivered|Sweden|Malmo|296.84|30.47|Standard|1|6
219|TRK-2026-000219||1|2026-09-02||Awaiting Pickup|Spain|Valencia|2821.27|201.66|Express|8|
220|TRK-2026-000220|1|22|2026-02-09|2026-02-13|Delivered|Denmark|Copenhagen|1201.06|68.44|Standard|6|4
221|TRK-2026-000221|6|24|2026-06-15|2026-07-13|Delivered|Czechia|Brno|561.18|26.98|Standard|2|28
222|TRK-2026-000222|1|19|2026-03-15|2026-03-19|Delivered|Netherlands|Eindhoven|1918.02|98.56|Standard|6|4
223|TRK-2026-000223|2|19|2026-06-17|2026-06-26|Delivered|Germany|Berlin|2215.66|90.59|Economy|6|9
224|TRK-2026-000224||22|2026-09-13||Awaiting Pickup|Germany|Berlin|1363.03|75.25|Standard|6|
225|TRK-2026-000225|3|28|2026-04-18|2026-04-20|Delivered|Spain|Valencia|1198.46|96.02|Express|3|2
226|TRK-2026-000226|10|15|2026-03-20|2026-03-23|Returned|United Kingdom|London|777.06|39.76|Standard|3|3
227|TRK-2026-000227|9|15|2026-07-05|2026-07-09|Delivered|Switzerland|Zurich|867.89|55.67|Express|3|4
228|TRK-2026-000228|1|23|2026-01-30|2026-02-03|Delivered|Germany|Munich|1018.16|60.76|Standard|3|4
