ticket_id|subject|account_id|agent_id|channel|category|priority|status|opened_date|resolved_date|sla_breached|first_response_minutes|resolution_hours
45|Filter by region|4|15|Email|Feature Request|Normal|Closed|2025-04-05|2025-04-06|0|267|37.24
46|Credit note request|23|14|Phone|Billing|Low|Closed|2025-09-15|2025-09-17|0|3|56.89
47|Where do I set the currency?|23|4|Email|How-To|Normal|Closed|2026-07-13|2026-07-16|1|8|78.46
48|Help importing our first data set|53|14|Web Form|Onboarding|Normal|Closed|2026-05-11|2026-05-11|0|249|20.22
49|Login loop after update|45|8|Web Form|Bug|Normal|Closed|2026-02-02|2026-02-07|1|56|132.11
50|Wrong VAT rate on the last bill|26|12|Web Form|Billing|Low|Closed|2025-12-11|2025-12-11|0|11|11.69
51|Login loop after update|50|9|Web Form|Bug|Low|Closed|2026-02-06|2026-02-06|0|37|3.54
52|Scheduler skipped a run|36|9|Email|Bug|Normal|Closed|2025-11-24|2025-11-24|0|48|12.99
53|Please split this invoice|15|12|Email|Billing|Normal|Closed|2026-07-24|2026-07-24|0|225|16.18
54|Help importing our first data set|34|13|Email|Onboarding|Urgent|Waiting on Customer|2026-05-30||1|67|
55|How do I add a second connection?|60|3|Email|How-To|Urgent|Closed|2025-05-17|2025-05-17|0|215|1.93
56|Dark mode for the dashboards|45|6|Web Form|Feature Request|High|Closed|2025-01-28|2025-01-28|0|6|2.88
57|How do I add a second connection?|18|2|Chat|How-To|Low|Closed|2025-08-09|2025-08-14|1|58|128.00
58|Dark mode for the dashboards|1|6|Phone|Feature Request|Urgent|Closed|2025-04-11|2025-04-12|1|203|30.76
59|Where do I set the currency?|19|15|Email|How-To|Normal|Closed|2026-06-18|2026-06-18|0|45|6.90
60|Scheduler skipped a run|17|6|Email|Bug|Normal|Closed|2026-08-01|2026-08-02|0|112|41.37
61|Scheduler skipped a run|55|9|Email|Bug|Low|Closed|2026-01-08|2026-01-09|0|15|34.02
62|Server unreachable this morning|19|6|Phone|Outage|Low|Resolved|2026-09-15|2026-09-17|0|44|65.75
63|Invoice does not match the order|10|11|Web Form|Billing|High|Resolved|2026-03-29|2026-03-29|0|180|6.45
64|How do I add a second connection?|27|4|Web Form|How-To|High|Closed|2025-06-16|2025-06-16|0|3|1.36
65|Database connection refused|36|6|Web Form|Outage|Normal|Closed|2026-05-07|2026-05-07|0|38|7.33
66|Training session request|16|13|Phone|Onboarding|Low|Closed|2025-02-20|2025-02-20|0|94|12.83
67|Help importing our first data set|50|15|Email|Onboarding|High|Closed|2025-11-11|2025-11-11|0|241|3.14
68|Credit note request|47|3|Email|Billing|High|Closed|2026-08-20|2026-08-20|0|16|9.70
69|Totals differ from the source|12|6|Web Form|Bug|Normal|Closed|2026-01-20|2026-01-20|0|9|10.23
70|Scheduled jobs are queued|48|6|Email|Outage|High|In Progress|2026-09-11||1|3|
71|More decimals in the pivot|58|7|Email|Feature Request|Low|Closed|2025-11-21|2025-11-23|0|26|66.44
72|Server unreachable this morning|39|9|Web Form|Outage|Low|Resolved|2025-09-27|2025-09-29|0|144|69.67
73|User accounts for the new team|41|15|Phone|Onboarding|High|Closed|2025-03-04|2025-03-04|0|100|2.17
74|Please split this invoice|48|11|Chat|Billing|Normal|Closed|2025-12-05|2025-12-05|0|33|9.98
75|How do I share a dashboard?|58|3|Email|How-To|Normal|Closed|2025-12-20|2025-12-20|0|15|11.24
76|Scheduled jobs are queued|53|9|Email|Outage|Low|Closed|2026-01-05|2026-01-05|0|68|23.86
77|Invoice does not match the order|31|14|Web Form|Billing|Low|Closed|2025-02-13|2025-02-23|1|135|245.04
78|How do I share a dashboard?|10|5|Web Form|How-To|High|Closed|2026-05-27|2026-05-27|0|222|4.97
79|Dashboards time out|21|7|Web Form|Outage|Normal|Closed|2026-05-11|2026-05-11|0|217|21.61
80|User accounts for the new team|10|14|Web Form|Onboarding|Normal|Resolved|2025-04-25|2025-04-25|0|183|8.23
81|Scheduler skipped a run|38|6|Email|Bug|High|Waiting on Customer|2025-12-31||1|10|
82|Please split this invoice|55|12|Chat|Billing|Low|Closed|2025-02-26|2025-02-26|0|51|10.12
83|User accounts for the new team|7|15|Chat|Onboarding|Low|Closed|2026-07-18|2026-07-22|1|16|96.03
84|Scheduled jobs are queued|20|5|Phone|Outage|Normal|Closed|2026-04-19|2026-04-20|0|4|24.88
85|Credit note request|20|11|Chat|Billing|High|Closed|2025-05-06|2025-05-06|0|41|7.21
86|How do I schedule a report?|7|2|Email|How-To|High|Closed|2026-06-23|2026-06-23|0|47|1.86
87|How do I add a second connection?|12|3|Chat|How-To|Normal|Closed|2026-05-16|2026-05-16|0|31|3.25
88|Kick-off call follow-up|53||Phone|Onboarding|Urgent|Open|2026-09-25||1||
89|Dashboards time out|20|8|Web Form|Outage|Normal|Closed|2026-04-01|2026-04-02|0|51|27.09
90|Please split this invoice|18||Chat|Billing|Low|Open|2026-01-22||1||
91|Scheduler skipped a run|48|6|Email|Bug|Normal|Closed|2025-02-12|2025-02-14|1|42|49.04
92|Credit note request|44||Email|Billing|High|Open|2025-11-21||1||
93|Where do I set the currency?|7|1|Web Form|How-To|Normal|Closed|2026-08-29|2026-08-29|0|180|4.61
94|Wrong VAT rate on the last bill|15|11|Phone|Billing|Low|Closed|2026-06-21|2026-06-22|0|96|32.78
95|More decimals in the pivot|60|10|Email|Feature Request|High|Closed|2025-05-11|2025-05-11|0|9|3.68
96|How do I schedule a report?|42|3|Email|How-To|High|Resolved|2025-12-20|2025-12-22|1|173|53.58
97|Login loop after update|23|7|Web Form|Bug|High|Closed|2025-07-05|2025-07-05|0|318|8.47
98|How do I schedule a report?|21|3|Web Form|How-To|Normal|Closed|2025-07-28|2025-07-28|0|52|13.23
99|Filter by region|38|6|Phone|Feature Request|High|Closed|2025-09-05|2025-09-05|0|61|6.01
100|Report export is empty|1|8|Web Form|Bug|Low|Closed|2026-09-13|2026-09-14|0|57|38.43
101|How do I schedule a report?|10|5|Web Form|How-To|Normal|Closed|2026-04-01|2026-04-01|0|90|15.64
102|Dark mode for the dashboards|53|9|Phone|Feature Request|Normal|Closed|2025-10-21|2025-10-22|0|42|24.98
103|Dashboards time out|53|6|Web Form|Outage|Low|Closed|2026-07-25|2026-07-30|1|80|130.07
104|Invoice does not match the order|42|10|Chat|Billing|Normal|Closed|2026-04-05|2026-04-12|1|3|170.68
105|Report export is empty|22|4|Phone|Bug|Normal|Closed|2026-02-22|2026-02-23|0|45|24.07
106|Credit note request|8|10|Phone|Billing|High|Closed|2026-03-01|2026-03-01|0|76|1.14
107|Report export is empty|53|8|Email|Bug|Urgent|Closed|2025-10-14|2025-10-14|0|50|1.45
108|User accounts for the new team|36|14|Email|Onboarding|High|Closed|2025-09-05|2025-09-05|0|95|4.10
109|Server unreachable this morning|41|8|Email|Outage|Urgent|Closed|2025-03-08|2025-03-08|0|20|0.36
110|Dashboards time out|15|15|Email|Outage|High|Closed|2025-10-19|2025-10-19|0|118|10.54
111|Please split this invoice|53|12|Web Form|Billing|Low|Closed|2026-04-20|2026-04-20|0|226|6.06
112|Kick-off call follow-up|38|13|Web Form|Onboarding|Normal|Resolved|2026-04-04|2026-04-04|0|59|22.69
113|Wrong VAT rate on the last bill|17|10|Email|Billing|High|Closed|2026-02-07|2026-02-07|0|55|2.25
114|Database connection refused|47|9|Web Form|Outage|High|Closed|2025-10-24|2025-10-24|0|55|6.53
115|How do I add a second connection?|10|3|Email|How-To|Normal|Closed|2025-02-08|2025-02-08|0|28|18.78
116|How do I schedule a report?|57|8|Chat|How-To|Normal|Closed|2025-09-12|2025-09-13|0|147|26.50
117|How do I share a dashboard?|46|1|Chat|How-To|High|Closed|2025-09-08|2025-09-08|0|6|4.94
118|Report export is empty|36|8|Chat|Bug|Urgent|Closed|2026-06-18|2026-06-18|1|18|4.74
119|Kick-off call follow-up|52|13|Email|Onboarding|Normal|In Progress|2025-08-29||1|116|
120|How do I schedule a report?|52|3|Email|How-To|Low|Closed|2025-10-09|2025-10-11|0|194|69.47
121|Totals differ from the source|4|9|Phone|Bug|High|Closed|2026-06-26|2026-06-26|0|48|1.78
122|Scheduler skipped a run|16|7|Phone|Bug|Normal|Closed|2025-05-21|2025-05-22|0|57|40.52
123|How do I schedule a report?|10|3|Email|How-To|Normal|Closed|2025-08-14|2025-08-14|0|188|15.46
124|Please split this invoice|58|10|Email|Billing|Urgent|Resolved|2026-09-01|2026-09-01|0|22|3.32
125|Login loop after update|10|9|Email|Bug|Low|Closed|2025-01-30|2025-01-30|0|39|9.09
126|Help importing our first data set|4|15|Chat|Onboarding|High|Closed|2026-02-27|2026-02-27|0|161|1.43
127|Dark mode for the dashboards|32|8|Email|Feature Request|Urgent|Resolved|2026-09-08|2026-09-08|0|219|2.53
128|How do I schedule a report?|34|12|Email|How-To|Normal|Closed|2025-11-13|2025-11-15|1|61|62.37
129|Scheduler skipped a run|37|9|Phone|Bug|Urgent|Resolved|2026-03-13|2026-03-13|0|109|1.35
130|Totals differ from the source|12|8|Web Form|Bug|High|Closed|2026-08-11|2026-08-11|0|78|1.79
131|Totals differ from the source|48|5|Web Form|Bug|Normal|Closed|2025-01-24|2025-01-24|0|42|1.53
132|Login loop after update|7|6|Web Form|Bug|Low|Closed|2026-06-23|2026-06-24|0|16|39.66
133|Dashboards time out|60|7|Web Form|Outage|Low|Closed|2025-05-24|2025-05-24|0|63|20.88
134|Scheduler skipped a run|53|9|Web Form|Bug|Low|Open|2026-03-15||1|271|
135|Dark mode for the dashboards|40|8|Chat|Feature Request|Normal|Closed|2025-07-13|2025-07-13|0|238|12.68
136|How do I add a second connection?|3|3|Web Form|How-To|Urgent|Closed|2025-06-12|2025-06-12|0|41|2.53
137|Login loop after update|38|9|Email|Bug|Low|Closed|2026-08-02|2026-08-07|1|23|139.50
138|Login loop after update|10|7|Phone|Bug|Normal|Closed|2026-07-24|2026-07-24|0|53|8.84
139|Filter by region|19|7|Email|Feature Request|High|Closed|2025-03-02|2025-03-02|0|48|4.77
140|Credit note request|21|11|Phone|Billing|High|Closed|2025-03-14|2025-03-14|0|75|5.69
141|Scheduler skipped a run|10|4|Chat|Bug|Normal|Closed|2026-06-08|2026-06-08|0|59|9.84
142|Dashboards time out|43|15|Email|Outage|Urgent|Closed|2025-04-10|2025-04-10|0|199|0.61
143|Totals differ from the source|10|3|Email|Bug|Low|Closed|2025-09-10|2025-09-10|0|17|10.51
144|Invoice does not match the order|17|10|Chat|Billing|Normal|Closed|2026-03-18|2026-03-18|0|87|8.93
145|Totals differ from the source|28|1|Web Form|Bug|Normal|Resolved|2025-02-25|2025-02-26|0|79|34.06
146|Filter by region|28|8|Web Form|Feature Request|Normal|Waiting on Customer|2026-09-02||1|255|
147|Credit note request|18|3|Chat|Billing|Urgent|Closed|2026-05-09|2026-05-09|0|8|0.47
148|Please add a CSV export|60|4|Web Form|Feature Request|High|Closed|2026-07-06|2026-07-06|0|106|4.87
149|Server unreachable this morning|34|7|Email|Outage|Urgent|Closed|2026-03-02|2026-03-02|0|36|0.91
150|Wrong VAT rate on the last bill|30|11|Phone|Billing|Normal|Closed|2025-09-04|2025-09-04|0|156|10.19
151|Login loop after update|53|6|Web Form|Bug|Low|Closed|2026-06-15|2026-06-15|0|84|17.28
152|How do I share a dashboard?|55|5|Email|How-To|Normal|Closed|2026-08-25|2026-08-26|0|46|26.67
153|Report export is empty|54|8|Web Form|Bug|Normal|Closed|2025-05-04|2025-05-04|0|343|8.07
154|Report export is empty|45|8|Email|Bug|High|Closed|2026-02-08|2026-02-08|0|42|0.66
155|Login loop after update|45|2|Web Form|Bug|Low|Closed|2025-07-08|2025-07-09|0|11|37.93
156|Server unreachable this morning|52|12|Email|Outage|Normal|Closed|2025-12-31|2026-01-02|1|170|51.48
157|How do I schedule a report?|39|3|Phone|How-To|Normal|Resolved|2025-02-13|2025-02-18|1|25|128.08
158|Totals differ from the source|17|8|Web Form|Bug|High|Closed|2026-04-07|2026-04-07|1|45|22.08
159|Credit note request|34|8|Phone|Billing|Normal|Closed|2026-08-07|2026-08-07|0|3|6.77
160|Where do I set the currency?|10|1|Chat|How-To|High|Closed|2026-03-26|2026-03-26|0|128|7.40
161|User accounts for the new team|2|14|Email|Onboarding|High|Closed|2025-04-10|2025-04-10|0|72|3.46
162|How do I add a second connection?|22|14|Web Form|How-To|Urgent|Closed|2025-04-08|2025-04-08|1|109|5.27
163|Please add a CSV export|19|8|Email|Feature Request|High|Closed|2026-05-16|2026-05-16|0|22|7.93
164|How do I schedule a report?|26|8|Phone|How-To|Low|Closed|2025-02-05|2025-02-10|1|194|120.28
165|Please add a CSV export|55|6|Email|Feature Request|Normal|Closed|2026-07-23|2026-07-23|0|169|20.78
166|Dark mode for the dashboards|58|8|Phone|Feature Request|Normal|Waiting on Customer|2026-09-06||1|79|
167|Report export is empty|3|11|Web Form|Bug|High|Closed|2025-03-15|2025-03-15|0|68|3.75
168|Credit note request|60|11|Email|Billing|Normal|Closed|2026-01-02|2026-01-03|0|46|42.84
169|Database connection refused|47|7|Email|Outage|Normal|Open|2026-09-18||1|191|
170|Wrong VAT rate on the last bill|18|11|Web Form|Billing|High|Resolved|2025-02-06|2025-02-06|0|34|3.06
171|More decimals in the pivot|60|6|Web Form|Feature Request|Normal|Closed|2026-04-22|2026-04-22|0|116|20.79
172|Report export is empty|55|6|Email|Bug|Low|Waiting on Customer|2026-08-25||1|108|
173|Totals differ from the source|24|6|Web Form|Bug|Low|Closed|2025-03-30|2025-03-31|0|13|44.37
174|Server unreachable this morning|35|6|Email|Outage|Normal|Closed|2026-04-16|2026-04-16|0|27|11.06
175|Help importing our first data set|29|15|Email|Onboarding|Urgent|Closed|2026-07-11|2026-07-11|0|71|3.62
176|Login loop after update|10|8|Email|Bug|Low|Closed|2025-12-21|2025-12-24|0|26|75.94
177|Scheduler skipped a run|58|10|Phone|Bug|Low|Closed|2025-01-30|2025-01-31|0|327|27.69
178|Scheduler skipped a run|22|14|Phone|Bug|High|Closed|2025-06-15|2025-06-15|1|445|18.55
179|How do I share a dashboard?|3|1|Web Form|How-To|High|Closed|2025-10-23|2025-10-23|0|3|8.86
180|Kick-off call follow-up|34|14|Phone|Onboarding|Normal|Closed|2025-04-04|2025-04-04|0|66|4.96
181|Dark mode for the dashboards|6|6|Web Form|Feature Request|Low|Closed|2025-12-27|2025-12-29|0|149|68.42
182|How do I schedule a report?|18|5|Web Form|How-To|High|Closed|2025-09-18|2025-09-18|0|43|4.47
183|Totals differ from the source|2||Phone|Bug|Urgent|Open|2025-04-07||1||
184|How do I share a dashboard?|22|3|Phone|How-To|Urgent|Closed|2025-08-01|2025-08-01|0|153|2.01
185|Please split this invoice|5|12|Phone|Billing|High|Closed|2026-06-13|2026-06-13|0|99|2.83
186|Please split this invoice|9|11|Web Form|Billing|Urgent|Resolved|2026-07-26|2026-07-26|0|80|1.13
187|More decimals in the pivot|55|9|Web Form|Feature Request|Normal|Waiting on Customer|2025-05-02||1|360|
188|Please split this invoice|44|10|Email|Billing|Normal|Closed|2026-01-29|2026-01-29|0|46|22.55
189|Please split this invoice|19|9|Email|Billing|Normal|Closed|2025-08-05|2025-08-05|0|275|10.44
190|Help importing our first data set|16|13|Phone|Onboarding|High|Closed|2025-06-12|2025-06-12|0|92|3.11
191|Database connection refused|14|6|Email|Outage|Normal|Open|2026-08-07||1|23|
192|Training session request|30|14|Web Form|Onboarding|Normal|Waiting on Customer|2025-02-14||1|234|
193|How do I share a dashboard?|41|2|Phone|How-To|Low|Closed|2025-09-17|2025-09-17|0|66|19.19
194|Login loop after update|36|9|Web Form|Bug|High|Closed|2025-03-04|2025-03-04|0|87|3.46
195|User accounts for the new team|50|3|Web Form|Onboarding|Low|Resolved|2026-05-19|2026-05-21|0|79|58.88
196|Database connection refused|11|10|Web Form|Outage|Normal|Closed|2025-02-21|2025-02-21|0|44|9.15
197|Totals differ from the source|37|6|Chat|Bug|Normal|Resolved|2025-09-13|2025-09-13|0|26|15.12
198|Credit note request|30|12|Web Form|Billing|High|Closed|2026-05-23|2026-05-23|1|158|19.42
199|Where do I set the currency?|18||Web Form|How-To|Low|Open|2026-02-22||1||
200|How do I share a dashboard?|22|2|Email|How-To|Normal|Resolved|2026-04-11|2026-04-12|0|409|33.53
201|Filter by region|30|8|Chat|Feature Request|Normal|Closed|2026-05-19|2026-05-20|0|13|32.12
202|Login loop after update|10|9|Chat|Bug|Normal|Closed|2025-04-29|2025-04-29|0|74|4.64
203|Scheduler skipped a run|47|7|Phone|Bug|Normal|Resolved|2026-08-19|2026-08-19|0|34|16.28
204|How do I share a dashboard?|23|2|Web Form|How-To|Normal|Closed|2026-04-06|2026-04-07|0|276|37.66
205|How do I share a dashboard?|18|3|Chat|How-To|Low|In Progress|2026-09-04||1|54|
206|Filter by region|29|9|Web Form|Feature Request|Low|Closed|2026-08-19|2026-08-22|0|75|83.93
207|Please split this invoice|38|10|Email|Billing|High|Closed|2026-04-28|2026-04-28|0|24|7.34
208|Please add a CSV export|60|8|Chat|Feature Request|Low|Closed|2026-07-27|2026-07-29|0|359|51.08
209|Server unreachable this morning|13|8|Web Form|Outage|Normal|Resolved|2025-12-05|2025-12-05|0|135|23.99
210|Credit note request|19|11|Email|Billing|Urgent|Closed|2026-04-16|2026-04-16|0|57|2.10
211|Help importing our first data set|12|14|Email|Onboarding|Low|Resolved|2026-09-08|2026-09-09|0|8|41.98
212|Report export is empty|5|9|Chat|Bug|Normal|Closed|2026-01-27|2026-01-28|0|58|33.43
213|How do I schedule a report?|25|5|Web Form|How-To|Low|Closed|2025-06-01|2025-06-03|0|200|68.02
214|Report export is empty|30|9|Email|Bug|Normal|Closed|2025-05-15|2025-05-16|0|45|36.43
215|Scheduler skipped a run|8|9|Phone|Bug|Normal|Resolved|2025-06-28|2025-06-29|0|80|26.73
216|How do I share a dashboard?|30|1|Email|How-To|Low|In Progress|2026-09-21||1|41|
217|Where do I set the currency?|55|2|Phone|How-To|Low|Closed|2026-02-16|2026-02-17|0|148|44.99
218|Invoice does not match the order|38|12|Email|Billing|Normal|Closed|2026-06-29|2026-06-29|0|35|21.24
219|Training session request|1|14|Web Form|Onboarding|Low|Waiting on Customer|2026-09-20||1|148|
220|Scheduler skipped a run|38|9|Phone|Bug|Low|Closed|2025-12-19|2025-12-22|0|85|93.43
221|Database connection refused|38|7|Phone|Outage|High|Waiting on Customer|2025-12-19||1|61|
222|Scheduler skipped a run|8|9|Email|Bug|Normal|Closed|2025-01-06|2025-01-06|0|132|23.95
223|Training session request|26|13|Phone|Onboarding|High|Open|2026-09-21||1|76|
224|Login loop after update|18|6|Web Form|Bug|Normal|Closed|2025-05-16|2025-05-18|1|243|48.17
225|Dark mode for the dashboards|37|9|Email|Feature Request|Normal|Closed|2025-04-21|2025-04-21|0|19|6.89
226|Training session request|54|13|Email|Onboarding|Normal|Closed|2025-06-14|2025-06-15|0|31|27.77
227|How do I schedule a report?|12|2|Email|How-To|Low|Resolved|2025-04-01|2025-04-02|0|28|35.59
228|How do I add a second connection?|10|3|Chat|How-To|Low|Closed|2025-11-04|2025-11-08|1|96|96.25
229|Kick-off call follow-up|40|13|Web Form|Onboarding|Urgent|Resolved|2025-01-25|2025-01-25|1|76|6.44
230|Login loop after update|29|9|Web Form|Bug|Normal|Closed|2025-07-18|2025-07-19|0|29|47.92
231|Dark mode for the dashboards|20|7|Email|Feature Request|Low|Resolved|2026-07-11|2026-07-12|0|25|34.43
232|Totals differ from the source|14|7|Email|Bug|Urgent|Closed|2025-11-06|2025-11-06|1|301|5.95
233|Please add a CSV export|48|14|Web Form|Feature Request|Low|Closed|2025-12-30|2026-01-03|1|18|105.36
234|Please split this invoice|39|12|Email|Billing|High|Closed|2025-11-15|2025-11-15|0|27|11.62
235|How do I add a second connection?|1|1|Phone|How-To|Urgent|Resolved|2026-03-31|2026-03-31|0|380|0.39
236|How do I share a dashboard?|58|1|Web Form|How-To|Urgent|Closed|2026-01-06|2026-01-06|1|29|4.01
237|Database connection refused|12|8|Email|Outage|High|Closed|2025-10-13|2025-10-13|0|92|3.84
238|User accounts for the new team|30|15|Email|Onboarding|Low|Closed|2025-11-16|2025-11-16|0|84|15.40
239|Scheduler skipped a run|50|8|Web Form|Bug|Low|Closed|2025-05-04|2025-05-11|1|286|181.67
240|Invoice does not match the order|31|12|Email|Billing|Normal|Closed|2026-04-05|2026-04-05|0|95|18.44
241|Wrong VAT rate on the last bill|47|12|Email|Billing|High|Closed|2025-08-30|2025-08-30|0|30|2.11
242|User accounts for the new team|18|15|Email|Onboarding|Normal|Closed|2026-04-07|2026-04-07|0|30|3.01
243|Invoice does not match the order|48|12|Chat|Billing|Normal|In Progress|2026-08-28||1|14|
244|How do I add a second connection?|28|5|Email|How-To|Normal|Closed|2026-06-20|2026-06-20|0|6|21.73
245|How do I share a dashboard?|35|3|Web Form|How-To|High|Resolved|2026-04-01|2026-04-01|0|117|9.42
246|How do I share a dashboard?|28|4|Email|How-To|Low|Closed|2025-12-07|2025-12-08|0|106|37.48
247|Login loop after update|50|9|Phone|Bug|Normal|Closed|2025-05-24|2025-05-24|0|21|6.56
248|Dashboards time out|47|6|Web Form|Outage|Low|Resolved|2025-05-22|2025-05-24|0|10|58.60
249|Kick-off call follow-up|47|15|Email|Onboarding|Normal|Closed|2025-08-06|2025-08-06|0|45|11.82
250|Server unreachable this morning|27|8|Email|Outage|Normal|Closed|2025-08-28|2025-08-28|0|205|11.22
251|Wrong VAT rate on the last bill|18|10|Web Form|Billing|High|Closed|2026-07-27|2026-07-27|0|63|0.67
252|Where do I set the currency?|17|1|Phone|How-To|Low|Closed|2025-10-15|2025-10-17|0|45|68.41
253|How do I schedule a report?|35|7|Web Form|How-To|Low|Waiting on Customer|2026-08-23||1|113|
254|Dashboards time out|28|9|Email|Outage|High|Waiting on Customer|2026-08-28||1|20|
255|How do I add a second connection?|55|2|Email|How-To|Low|Closed|2026-07-13|2026-07-24|1|51|285.79
256|Scheduled jobs are queued|40|9|Email|Outage|Low|Closed|2026-07-10|2026-07-10|0|43|12.45
257|User accounts for the new team|21|15|Email|Onboarding|High|Closed|2026-08-25|2026-08-25|1|55|12.25
258|How do I schedule a report?|14|5|Chat|How-To|Normal|Closed|2025-12-11|2025-12-11|0|103|22.18
259|Wrong VAT rate on the last bill|15|10|Phone|Billing|High|Waiting on Customer|2026-09-27||1|63|
260|Dark mode for the dashboards|45|7|Email|Feature Request|Low|Closed|2025-11-12|2025-11-14|0|225|56.06
261|Scheduler skipped a run|46|13|Web Form|Bug|Low|Closed|2025-02-09|2025-02-10|0|71|25.59
262|Help importing our first data set|10|1|Web Form|Onboarding|Low|Closed|2025-05-09|2025-05-25|1|235|400.00
263|Scheduler skipped a run|46|7|Web Form|Bug|Normal|Resolved|2026-09-08|2026-09-09|0|91|25.85
264|How do I share a dashboard?|46|5|Phone|How-To|Normal|Resolved|2025-04-24|2025-04-24|0|84|3.21
265|How do I share a dashboard?|47|13|Email|How-To|Low|Closed|2025-12-01|2025-12-01|0|21|23.21
266|How do I schedule a report?|39|5|Email|How-To|Low|Closed|2025-06-15|2025-06-16|0|3|30.14
