invoice_id|line_no|item|qty|unit_price|amount
24|1|Licence Renewal|2|2217.06|4434.12
25|1|Performance Tuning|1|1074.16|1074.16
25|2|Cloud Hosting|1|1465.62|1465.62
25|3|Storage Expansion|2|1428.02|2856.04
26|1|Audit Review|1|2003.88|2003.88
26|2|Storage Expansion|3|570.55|1711.65
27|1|Data Migration|5|1582.45|7912.25
27|2|Custom Report Pack|2|1357.50|2715.00
27|3|Server Hardware|3|226.05|678.15
28|1|Support Plan|5|1061.33|5306.65
29|1|Workshop|3|1693.51|5080.53
30|1|Managed Service|2|86.66|173.32
30|2|Onboarding Package|1|2061.25|2061.25
30|3|Server Hardware|1|559.14|559.14
30|4|Licence Renewal|1|1666.03|1666.03
31|1|Consulting Day|1|1020.41|1020.41
31|2|Server Hardware|3|125.17|375.51
31|3|Storage Expansion|1|614.49|614.49
32|1|Server Hardware|5|578.76|2893.80
33|1|Licence Renewal|1|499.47|499.47
34|1|Implementation Hours|10|118.01|1180.10
35|1|Backup Service|2|1191.91|2383.82
36|1|Custom Report Pack|10|2321.92|23219.20
36|2|Annual Maintenance|3|1949.60|5848.80
37|1|Annual Maintenance|5|1743.62|8718.10
38|1|Consulting Day|2|2134.96|4269.92
38|2|Performance Tuning|10|2261.75|22617.50
38|3|Premium SLA|1|781.66|781.66
38|4|Storage Expansion|3|279.81|839.43
38|5|Training Session|2|1776.66|3553.32
39|1|Custom Report Pack|1|665.61|665.61
39|2|Cloud Hosting|5|944.13|4720.65
40|1|Audit Review|1|300.43|300.43
40|2|Implementation Hours|2|1168.31|2336.62
41|1|Consulting Day|8|2005.51|16044.08
41|2|Support Plan|1|1463.39|1463.39
42|1|Data Migration|3|1961.45|5884.35
42|2|Premium SLA|8|2232.53|17860.24
43|1|Software Licence|5|1925.79|9628.95
43|2|Server Hardware|1|757.24|757.24
43|3|Annual Maintenance|1|1872.69|1872.69
44|1|Cloud Hosting|2|1021.00|2042.00
45|1|Data Migration|1|1620.80|1620.80
45|2|Backup Service|2|517.98|1035.96
45|3|Workshop|2|1189.11|2378.22
46|1|Server Hardware|5|1764.64|8823.20
46|2|Performance Tuning|1|2089.82|2089.82
46|3|Custom Report Pack|1|931.76|931.76
46|4|Support Plan|3|1510.82|4532.46
47|1|Integration Module|10|763.94|7639.40
48|1|Integration Module|1|541.66|541.66
48|2|Backup Service|5|517.06|2585.30
48|3|Data Migration|3|1464.84|4394.52
49|1|Backup Service|8|712.75|5702.00
49|2|Cloud Hosting|8|103.09|824.72
50|1|Audit Review|2|1083.41|2166.82
50|2|Cloud Hosting|1|919.08|919.08
51|1|Backup Service|1|487.42|487.42
52|1|Audit Review|3|597.04|1791.12
52|2|Annual Maintenance|3|106.63|319.89
53|1|Audit Review|3|1957.03|5871.09
53|2|Cloud Hosting|5|2282.58|11412.90
53|3|Audit Review|1|1604.24|1604.24
53|4|Support Plan|1|1787.19|1787.19
53|5|Storage Expansion|1|1163.87|1163.87
54|1|Training Session|3|830.13|2490.39
55|1|Annual Maintenance|2|759.23|1518.46
55|2|Backup Service|1|832.92|832.92
55|3|Training Session|2|2257.22|4514.44
55|4|Cloud Hosting|1|2092.08|2092.08
56|1|Cloud Hosting|10|2054.27|20542.70
56|2|Premium SLA|8|1247.29|9978.32
57|1|Consulting Day|5|501.24|2506.20
57|2|Audit Review|2|136.83|273.66
58|1|Onboarding Package|8|1302.02|10416.16
59|1|Implementation Hours|3|617.22|1851.66
59|2|Backup Service|2|1689.23|3378.46
59|3|Implementation Hours|3|1567.61|4702.83
60|1|Data Migration|1|1681.51|1681.51
60|2|Storage Expansion|1|105.23|105.23
60|3|Cloud Hosting|1|1615.48|1615.48
61|1|Custom Report Pack|1|289.04|289.04
61|2|Storage Expansion|2|1525.13|3050.26
61|3|Backup Service|8|136.93|1095.44
62|1|Consulting Day|2|1252.05|2504.10
63|1|Server Hardware|1|1405.91|1405.91
63|2|Data Migration|3|2324.78|6974.34
64|1|Training Session|1|285.05|285.05
65|1|Training Session|2|164.36|328.72
66|1|Software Licence|1|619.05|619.05
66|2|Storage Expansion|5|122.43|612.15
66|3|Backup Service|5|118.65|593.25
67|1|Server Hardware|1|2223.48|2223.48
67|2|Integration Module|1|209.22|209.22
67|3|Training Session|3|1190.17|3570.51
67|4|Managed Service|1|1258.88|1258.88
67|5|Implementation Hours|5|816.34|4081.70
67|6|Annual Maintenance|5|1809.39|9046.95
68|1|Audit Review|1|1752.97|1752.97
68|2|Custom Report Pack|1|2319.07|2319.07
68|3|Support Plan|5|1608.42|8042.10
69|1|Managed Service|3|2082.62|6247.86
69|2|Consulting Day|1|1160.49|1160.49
69|3|Workshop|1|618.80|618.80
70|1|Workshop|1|603.07|603.07
70|2|Onboarding Package|2|1513.86|3027.72
70|3|Licence Renewal|1|1118.26|1118.26
70|4|Managed Service|3|1883.71|5651.13
70|5|Data Migration|1|1164.34|1164.34
70|6|Onboarding Package|3|1420.17|4260.51
71|1|Managed Service|1|541.92|541.92
71|2|Licence Renewal|1|1603.81|1603.81
72|1|Performance Tuning|3|1871.04|5613.12
72|2|Server Hardware|2|1884.49|3768.98
72|3|Audit Review|8|477.08|3816.64
73|1|Performance Tuning|1|2276.25|2276.25
73|2|Cloud Hosting|3|1087.92|3263.76
74|1|Workshop|3|360.09|1080.27
74|2|Premium SLA|8|1746.55|13972.40
74|3|Premium SLA|5|1559.96|7799.80
74|4|Data Migration|1|1667.22|1667.22
75|1|Software Licence|2|637.21|1274.42
76|1|Annual Maintenance|3|371.99|1115.97
76|2|Support Plan|1|860.11|860.11
77|1|Implementation Hours|5|213.84|1069.20
77|2|Managed Service|8|2379.87|19038.96
78|1|Premium SLA|1|637.52|637.52
78|2|Premium SLA|3|1923.19|5769.57
78|3|Premium SLA|3|1995.46|5986.38
79|1|Managed Service|10|648.40|6484.00
79|2|Software Licence|2|1044.08|2088.16
80|1|Backup Service|1|1415.80|1415.80
81|1|Managed Service|2|2350.08|4700.16
81|2|Data Migration|5|2087.12|10435.60
82|1|Annual Maintenance|2|223.81|447.62
82|2|Cloud Hosting|1|125.31|125.31
82|3|Onboarding Package|1|182.45|182.45
82|4|Consulting Day|8|1753.64|14029.12
82|5|Audit Review|1|762.43|762.43
83|1|Support Plan|8|953.24|7625.92
83|2|Annual Maintenance|2|2298.00|4596.00
83|3|Premium SLA|10|579.99|5799.90
83|4|Consulting Day|10|272.29|2722.90
84|1|Workshop|5|1654.68|8273.40
84|2|Integration Module|2|1358.86|2717.72
84|3|Workshop|2|1103.78|2207.56
84|4|Integration Module|1|154.29|154.29
84|5|Licence Renewal|8|697.78|5582.24
84|6|Backup Service|5|1898.47|9492.35
85|1|Custom Report Pack|2|527.56|1055.12
85|2|Custom Report Pack|2|2143.26|4286.52
86|1|Managed Service|1|2326.42|2326.42
87|1|Workshop|3|1196.71|3590.13
87|2|Licence Renewal|1|770.36|770.36
87|3|Backup Service|3|682.05|2046.15
87|4|Performance Tuning|1|580.20|580.20
87|5|Performance Tuning|1|1556.72|1556.72
87|6|Storage Expansion|2|1082.74|2165.48
88|1|Support Plan|1|2334.23|2334.23
89|1|Workshop|3|2322.67|6968.01
89|2|Performance Tuning|1|653.23|653.23
90|1|Premium SLA|1|1076.44|1076.44
90|2|Implementation Hours|8|1725.11|13800.88
90|3|Backup Service|2|699.62|1399.24
90|4|Data Migration|2|371.60|743.20
91|1|Performance Tuning|1|1716.38|1716.38
91|2|Audit Review|1|748.12|748.12
91|3|Integration Module|2|2290.20|4580.40
92|1|Annual Maintenance|1|936.18|936.18
92|2|Annual Maintenance|1|200.21|200.21
93|1|Managed Service|1|2156.34|2156.34
93|2|Storage Expansion|1|1677.72|1677.72
93|3|Software Licence|2|550.12|1100.24
94|1|Training Session|1|1601.48|1601.48
94|2|Training Session|1|2359.19|2359.19
94|3|Custom Report Pack|1|1107.17|1107.17
94|4|Managed Service|8|2342.45|18739.60
94|5|Workshop|5|346.45|1732.25
95|1|Software Licence|1|945.78|945.78
95|2|Audit Review|2|722.25|1444.50
95|3|Licence Renewal|8|694.42|5555.36
96|1|Implementation Hours|3|1568.59|4705.77
96|2|Training Session|8|456.38|3651.04
96|3|Licence Renewal|1|609.06|609.06
97|1|Training Session|1|1575.07|1575.07
97|2|Audit Review|1|2345.17|2345.17
98|1|Custom Report Pack|1|2128.24|2128.24
99|1|Performance Tuning|10|683.17|6831.70
100|1|Onboarding Package|2|2385.76|4771.52
100|2|Storage Expansion|2|2321.68|4643.36
100|3|Annual Maintenance|5|2304.99|11524.95
100|4|Audit Review|1|359.90|359.90
101|1|Custom Report Pack|2|2065.43|4130.86
101|2|Consulting Day|1|675.92|675.92
101|3|Performance Tuning|8|337.75|2702.00
102|1|Annual Maintenance|1|1779.37|1779.37
102|2|Storage Expansion|2|373.47|746.94
102|3|Workshop|1|1344.50|1344.50
102|4|Cloud Hosting|2|146.51|293.02
103|1|Performance Tuning|2|697.55|1395.10
104|1|Server Hardware|5|2146.69|10733.45
104|2|Server Hardware|2|2364.40|4728.80
104|3|Storage Expansion|2|1631.06|3262.12
105|1|Integration Module|1|1476.38|1476.38
105|2|Custom Report Pack|5|1720.82|8604.10
105|3|Workshop|5|415.51|2077.55
105|4|Implementation Hours|1|1117.59|1117.59
105|5|Managed Service|3|1477.16|4431.48
106|1|Onboarding Package|1|212.70|212.70
106|2|Server Hardware|1|2006.78|2006.78
107|1|Consulting Day|1|926.44|926.44
107|2|Backup Service|1|1853.04|1853.04
108|1|Workshop|2|778.18|1556.36
109|1|Backup Service|2|1803.09|3606.18
109|2|Workshop|10|93.81|938.10
109|3|Training Session|1|2347.12|2347.12
109|4|Data Migration|1|1957.77|1957.77
109|5|Support Plan|2|625.96|1251.92
110|1|Software Licence|2|1612.16|3224.32
110|2|Software Licence|1|749.65|749.65
110|3|Backup Service|5|1103.24|5516.20
110|4|Performance Tuning|5|880.33|4401.65
111|1|Annual Maintenance|1|658.16|658.16
111|2|Custom Report Pack|1|2028.25|2028.25
111|3|Training Session|8|426.94|3415.52
112|1|Onboarding Package|2|1184.51|2369.02
112|2|Managed Service|1|1785.85|1785.85
112|3|Software Licence|1|1019.23|1019.23
113|1|Performance Tuning|2|881.83|1763.66
114|1|Backup Service|1|534.54|534.54
114|2|Onboarding Package|3|1850.02|5550.06
114|3|Server Hardware|10|1964.89|19648.90
115|1|Licence Renewal|1|1224.84|1224.84
116|1|Custom Report Pack|1|723.75|723.75
116|2|Data Migration|5|220.64|1103.20
117|1|Software Licence|2|1624.73|3249.46
117|2|Support Plan|3|2282.68|6848.04
118|1|Cloud Hosting|8|1868.98|14951.84
118|2|Onboarding Package|8|1754.10|14032.80
118|3|Cloud Hosting|1|1219.39|1219.39
118|4|Backup Service|2|2328.13|4656.26
119|1|Data Migration|3|1127.99|3383.97
119|2|Training Session|10|1107.65|11076.50
119|3|Audit Review|1|1214.30|1214.30
120|1|Custom Report Pack|1|723.93|723.93
121|1|Support Plan|2|799.21|1598.42
121|2|Onboarding Package|3|876.81|2630.43
121|3|Managed Service|3|587.21|1761.63
122|1|Consulting Day|2|164.41|328.82
122|2|Annual Maintenance|1|1602.45|1602.45
123|1|Cloud Hosting|5|781.84|3909.20
123|2|Premium SLA|1|1343.97|1343.97
123|3|Training Session|3|1992.35|5977.05
123|4|Data Migration|5|1774.61|8873.05
123|5|Premium SLA|1|1651.61|1651.61
123|6|Licence Renewal|1|1174.17|1174.17
124|1|Cloud Hosting|1|1529.03|1529.03
124|2|Consulting Day|1|1348.05|1348.05
124|3|Support Plan|1|2009.72|2009.72
125|1|Custom Report Pack|1|1281.58|1281.58
126|1|Storage Expansion|5|1354.76|6773.80
126|2|Cloud Hosting|1|1649.50|1649.50
126|3|Performance Tuning|1|1417.44|1417.44
127|1|Premium SLA|1|2115.61|2115.61
128|1|Managed Service|2|162.36|324.72
128|2|Licence Renewal|1|852.12|852.12
128|3|Storage Expansion|1|539.02|539.02
128|4|Integration Module|2|270.24|540.48
128|5|Managed Service|1|1867.60|1867.60
129|1|Workshop|5|1558.94|7794.70
129|2|Implementation Hours|1|2193.57|2193.57
129|3|Backup Service|3|813.00|2439.00
130|1|Backup Service|1|1133.27|1133.27
130|2|Support Plan|3|885.98|2657.94
131|1|Data Migration|1|1141.52|1141.52
132|1|Integration Module|3|163.38|490.14
132|2|Server Hardware|10|1772.34|17723.40
133|1|Licence Renewal|2|1634.45|3268.90
133|2|Audit Review|5|165.74|828.70
133|3|Licence Renewal|10|1725.20|17252.00
133|4|Training Session|5|2357.57|11787.85
133|5|Workshop|1|1955.62|1955.62
134|1|Support Plan|1|2290.90|2290.90
135|1|Training Session|8|2175.39|17403.12
135|2|Training Session|1|2041.73|2041.73
136|1|Data Migration|5|805.28|4026.40
136|2|Workshop|1|2098.28|2098.28
136|3|Server Hardware|5|1533.51|7667.55
136|4|Training Session|5|1582.96|7914.80
137|1|Custom Report Pack|8|551.58|4412.64
137|2|Server Hardware|2|578.46|1156.92
138|1|Integration Module|8|1289.92|10319.36
138|2|Training Session|1|1845.09|1845.09
139|1|Backup Service|1|1065.92|1065.92
140|1|Onboarding Package|1|1926.93|1926.93
140|2|Consulting Day|1|1436.97|1436.97
140|3|Implementation Hours|2|157.46|314.92
140|4|Integration Module|1|2290.85|2290.85
140|5|Storage Expansion|1|451.97|451.97
141|1|Managed Service|3|2178.41|6535.23
141|2|Custom Report Pack|5|1553.64|7768.20
142|1|Data Migration|3|811.92|2435.76
142|2|Custom Report Pack|2|1809.22|3618.44
143|1|Audit Review|1|1950.78|1950.78
143|2|Backup Service|2|101.00|202.00
143|3|Storage Expansion|5|1911.46|9557.30
144|1|Training Session|1|256.92|256.92
144|2|Premium SLA|3|1415.35|4246.05
144|3|Training Session|8|1476.82|11814.56
145|1|Performance Tuning|2|1582.96|3165.92
145|2|Workshop|1|472.04|472.04
145|3|Premium SLA|10|1594.76|15947.60
146|1|Annual Maintenance|10|1959.93|19599.30
146|2|Licence Renewal|2|1296.29|2592.58
146|3|Custom Report Pack|2|862.40|1724.80
147|1|Support Plan|10|410.07|4100.70
148|1|Implementation Hours|2|1208.62|2417.24
148|2|Data Migration|3|2100.92|6302.76
148|3|Audit Review|1|1005.09|1005.09
149|1|Integration Module|5|2025.59|10127.95
149|2|Custom Report Pack|1|1857.79|1857.79
150|1|Licence Renewal|3|1954.67|5864.01
150|2|Storage Expansion|2|1435.29|2870.58
151|1|Cloud Hosting|10|1530.48|15304.80
151|2|Backup Service|10|1241.77|12417.70
152|1|Backup Service|5|1834.03|9170.15
152|2|Backup Service|5|818.35|4091.75
152|3|Implementation Hours|1|205.30|205.30
152|4|Data Migration|8|625.62|5004.96
153|1|Performance Tuning|2|845.45|1690.90
153|2|Annual Maintenance|1|639.61|639.61
153|3|Training Session|1|1371.55|1371.55
153|4|Annual Maintenance|5|1638.56|8192.80
153|5|Managed Service|2|199.46|398.92
154|1|Data Migration|1|724.88|724.88
154|2|Server Hardware|3|2269.82|6809.46
154|3|Implementation Hours|2|1110.33|2220.66
155|1|Onboarding Package|5|771.02|3855.10
155|2|Software Licence|1|887.84|887.84
155|3|Cloud Hosting|1|1046.64|1046.64
156|1|Support Plan|3|793.65|2380.95
156|2|Software Licence|1|1861.21|1861.21
157|1|Implementation Hours|5|1734.39|8671.95
158|1|Integration Module|2|458.40|916.80
158|2|Storage Expansion|1|332.72|332.72
158|3|Annual Maintenance|1|1055.60|1055.60
159|1|Performance Tuning|2|2250.27|4500.54
159|2|Backup Service|2|2155.69|4311.38
160|1|Storage Expansion|3|1020.52|3061.56
160|2|Workshop|1|2163.53|2163.53
161|1|Integration Module|2|551.51|1103.02
162|1|Workshop|1|827.37|827.37
162|2|Storage Expansion|1|435.33|435.33
162|3|Onboarding Package|1|509.60|509.60
162|4|Storage Expansion|1|461.28|461.28
162|5|Licence Renewal|2|1757.24|3514.48
162|6|Workshop|1|1348.25|1348.25
163|1|Storage Expansion|1|984.81|984.81
163|2|Cloud Hosting|1|1392.33|1392.33
164|1|Software Licence|1|1663.55|1663.55
164|2|Cloud Hosting|2|565.79|1131.58
164|3|Managed Service|1|862.02|862.02
165|1|Integration Module|3|1018.60|3055.80
165|2|Cloud Hosting|1|970.73|970.73
165|3|Integration Module|2|798.19|1596.38
165|4|Onboarding Package|1|1454.17|1454.17
165|5|Audit Review|1|1621.29|1621.29
166|1|Integration Module|3|2185.44|6556.32
166|2|Workshop|5|448.16|2240.80
166|3|Performance Tuning|2|1707.38|3414.76
166|4|Integration Module|5|1970.43|9852.15
166|5|Audit Review|1|1499.52|1499.52
167|1|Licence Renewal|2|1330.29|2660.58
167|2|Integration Module|5|2086.59|10432.95
168|1|Onboarding Package|5|1539.95|7699.75
168|2|Cloud Hosting|1|1959.84|1959.84
168|3|Software Licence|3|1081.00|3243.00
168|4|Software Licence|1|1234.58|1234.58
169|1|Managed Service|1|1826.14|1826.14
169|2|Data Migration|1|2330.26|2330.26
170|1|Onboarding Package|2|1398.94|2797.88
171|1|Annual Maintenance|1|576.18|576.18
171|2|Managed Service|3|1034.71|3104.13
171|3|Training Session|1|1520.16|1520.16
172|1|Integration Module|1|2323.26|2323.26
172|2|Audit Review|2|2015.21|4030.42
173|1|Workshop|2|1432.73|2865.46
174|1|Workshop|1|155.04|155.04
174|2|Data Migration|1|352.03|352.03
174|3|Custom Report Pack|3|580.62|1741.86
174|4|Storage Expansion|3|965.05|2895.15
174|5|Storage Expansion|2|1034.64|2069.28
175|1|Data Migration|1|1297.49|1297.49
175|2|Data Migration|8|2373.36|18986.88
175|3|Managed Service|3|2158.05|6474.15
176|1|Custom Report Pack|10|729.91|7299.10
176|2|Storage Expansion|1|1314.81|1314.81
176|3|Performance Tuning|1|933.86|933.86
176|4|Data Migration|3|379.04|1137.12
177|1|Support Plan|8|1935.11|15480.88
177|2|Data Migration|3|395.53|1186.59
177|3|Backup Service|1|1730.56|1730.56
178|1|Workshop|1|2161.10|2161.10
179|1|Managed Service|3|1736.52|5209.56
179|2|Storage Expansion|5|1241.06|6205.30
179|3|Annual Maintenance|1|658.54|658.54
180|1|Training Session|8|581.37|4650.96
180|2|Consulting Day|1|746.21|746.21
180|3|Storage Expansion|1|1715.52|1715.52
180|4|Software Licence|3|1774.61|5323.83
181|1|Software Licence|2|960.15|1920.30
181|2|Cloud Hosting|1|1484.52|1484.52
182|1|Audit Review|1|2263.68|2263.68
182|2|Support Plan|5|94.95|474.75
182|3|Software Licence|3|2299.96|6899.88
183|1|Custom Report Pack|5|380.94|1904.70
184|1|Backup Service|1|1644.83|1644.83
184|2|Cloud Hosting|1|1495.67|1495.67
185|1|Performance Tuning|1|2332.21|2332.21
186|1|Custom Report Pack|5|243.39|1216.95
187|1|Software Licence|1|1033.81|1033.81
187|2|Workshop|1|286.71|286.71
188|1|Consulting Day|2|1541.83|3083.66
188|2|Implementation Hours|1|855.28|855.28
189|1|Audit Review|5|352.62|1763.10
189|2|Annual Maintenance|1|774.22|774.22
189|3|Performance Tuning|3|1332.48|3997.44
189|4|Custom Report Pack|1|1187.69|1187.69
190|1|Support Plan|1|2179.79|2179.79
190|2|Cloud Hosting|1|1082.95|1082.95
190|3|Software Licence|3|1071.34|3214.02
190|4|Cloud Hosting|8|2031.36|16250.88
190|5|Cloud Hosting|3|1910.55|5731.65
191|1|Backup Service|1|2164.77|2164.77
191|2|Data Migration|1|1494.79|1494.79
192|1|Cloud Hosting|1|831.42|831.42
192|2|Audit Review|1|2206.19|2206.19
192|3|Onboarding Package|3|2097.72|6293.16
192|4|Licence Renewal|1|2185.25|2185.25
193|1|Premium SLA|1|636.02|636.02
193|2|Workshop|2|1256.03|2512.06
193|3|Server Hardware|1|2238.38|2238.38
193|4|Software Licence|1|1395.38|1395.38
193|5|Premium SLA|2|1455.79|2911.58
193|6|Audit Review|8|883.42|7067.36
194|1|Custom Report Pack|1|1434.57|1434.57
194|2|Annual Maintenance|8|1655.41|13243.28
194|3|Premium SLA|2|1934.49|3868.98
195|1|Software Licence|1|526.58|526.58
195|2|Onboarding Package|1|2205.94|2205.94
196|1|Onboarding Package|1|2342.07|2342.07
196|2|Annual Maintenance|8|770.68|6165.44
197|1|Software Licence|1|1680.85|1680.85
197|2|Custom Report Pack|1|1405.17|1405.17
197|3|Backup Service|2|950.96|1901.92
197|4|Performance Tuning|3|920.08|2760.24
197|5|Support Plan|2|269.49|538.98
197|6|Backup Service|1|2063.10|2063.10
198|1|Workshop|2|1112.94|2225.88
199|1|Workshop|3|1919.66|5758.98
199|2|Backup Service|8|2365.82|18926.56
199|3|Workshop|5|1008.51|5042.55
200|1|Premium SLA|2|690.22|1380.44
200|2|Annual Maintenance|5|1341.10|6705.50
201|1|Data Migration|3|1802.98|5408.94
201|2|Custom Report Pack|2|1749.32|3498.64
201|3|Consulting Day|3|273.50|820.50
201|4|Training Session|1|566.84|566.84
201|5|Storage Expansion|3|1305.28|3915.84
201|6|Consulting Day|1|932.81|932.81
202|1|Managed Service|1|572.59|572.59
202|2|Audit Review|2|525.89|1051.78
202|3|Backup Service|5|849.33|4246.65
203|1|Managed Service|1|1803.17|1803.17
203|2|Premium SLA|1|1888.17|1888.17
203|3|Server Hardware|5|2000.42|10002.10
203|4|Annual Maintenance|2|1317.75|2635.50
203|5|Server Hardware|1|1432.88|1432.88
204|1|Implementation Hours|5|802.29|4011.45
205|1|Licence Renewal|8|1024.17|8193.36
205|2|Training Session|3|500.15|1500.45
206|1|Custom Report Pack|1|2275.93|2275.93
207|1|Premium SLA|3|1495.82|4487.46
208|1|Data Migration|1|1771.72|1771.72
208|2|Storage Expansion|1|1835.74|1835.74
208|3|Consulting Day|1|1870.13|1870.13
209|1|Licence Renewal|1|1370.49|1370.49
209|2|Managed Service|2|1445.34|2890.68
210|1|Support Plan|10|1564.32|15643.20
210|2|Managed Service|1|1054.23|1054.23
210|3|Custom Report Pack|1|2300.90|2300.90
210|4|Licence Renewal|3|550.68|1652.04
210|5|Integration Module|10|203.56|2035.60
211|1|Integration Module|5|898.78|4493.90
211|2|Software Licence|5|1461.13|7305.65
211|3|Managed Service|5|580.68|2903.40
211|4|Workshop|2|1363.27|2726.54
212|1|Backup Service|8|1564.17|12513.36
213|1|Server Hardware|5|1457.21|7286.05
213|2|Storage Expansion|2|570.44|1140.88
213|3|Backup Service|1|1592.90|1592.90
213|4|Premium SLA|1|1716.80|1716.80
214|1|Backup Service|1|1825.09|1825.09
214|2|Performance Tuning|1|581.66|581.66
214|3|Audit Review|1|1461.57|1461.57
214|4|Backup Service|1|272.06|272.06
215|1|Software Licence|2|1904.61|3809.22
215|2|Workshop|5|861.85|4309.25
216|1|Integration Module|1|1993.81|1993.81
216|2|Data Migration|3|1419.63|4258.89
217|1|Cloud Hosting|1|2128.57|2128.57
217|2|Server Hardware|2|2253.33|4506.66
217|3|Annual Maintenance|10|1876.10|18761.00
217|4|Storage Expansion|5|959.74|4798.70
217|5|Software Licence|2|959.64|1919.28
217|6|Performance Tuning|1|2307.77|2307.77
218|1|Audit Review|1|380.98|380.98
218|2|Backup Service|5|1105.68|5528.40
218|3|Server Hardware|5|2022.94|10114.70
219|1|Premium SLA|1|2125.22|2125.22
219|2|Cloud Hosting|1|2230.63|2230.63
220|1|Data Migration|1|757.75|757.75
221|1|Training Session|1|1614.40|1614.40
221|2|Training Session|2|510.74|1021.48
221|3|Custom Report Pack|8|923.41|7387.28
221|4|Server Hardware|1|154.22|154.22
222|1|Annual Maintenance|1|1578.99|1578.99
222|2|Training Session|1|1840.19|1840.19
222|3|Software Licence|2|182.21|364.42
223|1|Integration Module|1|192.29|192.29
223|2|Integration Module|10|1395.96|13959.60
223|3|Custom Report Pack|1|410.57|410.57
224|1|Performance Tuning|10|1091.74|10917.40
224|2|Onboarding Package|5|612.71|3063.55
224|3|Software Licence|5|1010.58|5052.90
224|4|Data Migration|5|1182.43|5912.15
225|1|Cloud Hosting|1|444.03|444.03
226|1|Backup Service|3|2017.44|6052.32
227|1|Data Migration|2|696.99|1393.98
227|2|Software Licence|5|609.31|3046.55
227|3|Integration Module|3|1055.91|3167.73
227|4|Implementation Hours|2|2235.55|4471.10
228|1|Managed Service|2|991.03|1982.06
228|2|Support Plan|2|1019.08|2038.16
229|1|Onboarding Package|2|1806.38|3612.76
229|2|Annual Maintenance|3|1800.30|5400.90
229|3|Implementation Hours|2|1168.08|2336.16
229|4|Performance Tuning|1|1576.55|1576.55
230|1|Data Migration|8|1603.98|12831.84
230|2|Premium SLA|2|1675.16|3350.32
231|1|Data Migration|2|1040.99|2081.98
232|1|Custom Report Pack|2|1664.95|3329.90
233|1|Software Licence|3|1780.96|5342.88
233|2|Consulting Day|2|270.65|541.30
233|3|Integration Module|1|335.82|335.82
234|1|Cloud Hosting|2|834.12|1668.24
234|2|Support Plan|1|2350.89|2350.89
235|1|Audit Review|3|1754.18|5262.54
235|2|Training Session|5|1346.83|6734.15
236|1|Custom Report Pack|8|1306.65|10453.20
237|1|Cloud Hosting|1|1723.21|1723.21
238|1|Consulting Day|5|228.38|1141.90
